"","KID","year","tau_m","tau_f","tau_both","tau_m2","tau_f2"
"1",4038,1997,19.5,0,19.5,17.5,0
"2",4039,1997,10.5,0.5,10.5,6.5,0.5
"3",4039,2002,2.5,0,2.5,2.5,0
"4",4041,1997,33.1666666666667,23.3333333333333,39.1666666666667,33.1666666666667,19.3333333333333
"5",4042,1997,54.5833333333333,18.6666666666667,56.5833333333333,54.5833333333333,18.6666666666667
"6",4180,1997,0.833333333333333,0,0.833333333333333,0.833333333333333,0
"7",4187,1997,18.8333333333333,8.83333333333333,22.1666666666667,15.5,2.16666666666667
"8",5032,1997,24.2333333333333,4,24.2333333333333,12.15,4
"9",5032,2002,0,0,0,0,0
"10",5033,1997,42.5333333333333,37.7333333333333,45.1,41.3,36.9
"11",6034,1997,21,6,21,21,6
"12",7039,1997,10.75,23.6666666666667,27.4166666666667,10.75,11.5833333333333
"13",7040,1997,8.25,23.25,23.25,8.25,11.1666666666667
"14",7041,1997,15.25,0,15.25,8.25,0
"15",7044,1997,12,0,12,7,0
"16",7045,1997,23.5833333333333,17.5,23.5833333333333,9.58333333333333,3.5
"17",7045,2002,8.41666666666667,3,8.41666666666667,7.41666666666667,2
"18",10033,1997,48.5,0,48.5,42.6666666666667,0
"19",10034,1997,14.5,12,14.5,14.5,12
"20",10035,1997,31.3333333333333,69.5,69.5,31.3333333333333,44.5
"21",14030,1997,18,15.0833333333333,18,9.41666666666667,6.5
"22",14030,2002,0,8.83333333333333,8.83333333333333,0,2.83333333333333
"23",14031,1997,19.5833333333333,2.5,19.5833333333333,19.5833333333333,2.5
"24",14031,2002,28,22.25,28,6.75,1
"25",14032,1997,40.9166666666667,7.58333333333333,44.4166666666667,40.9166666666667,7.58333333333333
"26",14032,2002,27.6666666666667,28.3333333333333,32.1666666666667,16.8333333333333,17.5
"27",14033,1997,41.1666666666667,10.0833333333333,44.6666666666667,41.1666666666667,10.0833333333333
"28",14033,2002,29.75,26.4166666666667,32.5833333333333,19.9166666666667,16.5833333333333
"29",18038,1997,42.6833333333333,0,42.6833333333333,35.7666666666667,0
"30",18038,2002,5,0,5,5,0
"31",18039,1997,23.5,22,38,18.5,17
"32",18039,2002,19.6666666666667,4.66666666666667,20.8333333333333,19.6666666666667,4.66666666666667
"33",18040,1997,23.5,22,38,18.5,17
"34",18040,2002,18.0833333333333,4.66666666666667,19.25,18.0833333333333,4.66666666666667
"35",18041,1997,37.25,30.3333333333333,46.75,37.25,30.3333333333333
"36",18041,2002,21.8333333333333,25.5,28,19.3333333333333,25.5
"37",18187,1997,0,0,0,0,0
"38",18189,1997,14.1666666666667,0,14.1666666666667,14.1666666666667,0
"39",18189,2002,25.75,6,29.75,25.75,6
"40",18191,1997,13.3333333333333,0,13.3333333333333,13.3333333333333,0
"41",18192,1997,10.8333333333333,0,10.8333333333333,10.8333333333333,0
"42",22030,1997,36.4833333333333,16.7666666666667,36.4833333333333,34.9833333333333,15.2666666666667
"43",22030,2002,39.6666666666667,0,39.6666666666667,25.9166666666667,0
"44",22031,2002,52.25,0,52.25,39.5,0
"45",22176,1997,61.25,60.25,67,49.25,50.25
"46",22176,2002,0,12.6666666666667,12.6666666666667,0,1.83333333333333
"47",39031,1997,41.9166666666667,23.4166666666667,58.9166666666667,34.8333333333333,17.5833333333333
"48",39031,2002,6.6,1.33333333333333,6.93333333333333,5.26666666666667,0.333333333333333
"49",40035,1997,0,20.15,20.15,0,16.45
"50",40035,2002,0,0,0,0,0
"51",40038,1997,15.6666666666667,10.6666666666667,18.3333333333333,15.6666666666667,10.6666666666667
"52",40039,1997,10.9166666666667,16.5833333333333,20,10.9166666666667,16.5833333333333
"53",45032,1997,0,0,0,0,0
"54",45032,2002,34.5833333333333,24,34.5833333333333,22.0833333333333,11.5
"55",45033,1997,0,22.5,22.5,0,18.75
"56",45034,1997,20,4,24,20,4
"57",45034,2002,30.5,2.5,30.5,30.5,2.5
"58",47034,1997,23.8333333333333,13.25,23.8333333333333,23.8333333333333,13.25
"59",47034,2002,27.5,16.25,30,27.5,16.25
"60",47035,1997,13.8333333333333,13.8333333333333,15.5,8.83333333333333,8.83333333333333
"61",47035,2002,13.75,9.66666666666667,15.0833333333333,13.75,9.66666666666667
"62",47036,1997,38.6666666666667,41.5833333333333,45.5833333333333,38.6666666666667,41.5833333333333
"63",47036,2002,40,30.3333333333333,45,40,30.3333333333333
"64",47037,1997,31.3333333333333,19.3333333333333,33.8333333333333,27.5833333333333,19.3333333333333
"65",47037,2002,24.9166666666667,0,24.9166666666667,16.6666666666667,0
"66",47038,1997,23.8333333333333,15.5,28,20.9166666666667,15.5
"67",47038,2002,13.6666666666667,0,13.6666666666667,10.3333333333333,0
"68",47039,1997,75.4166666666667,27.3333333333333,75.4166666666667,75.4166666666667,27.3333333333333
"69",47039,2002,31.5,33,48.3333333333333,30.5,33
"70",47040,1997,54.5833333333333,24.8333333333333,63.9166666666667,54.5833333333333,24.8333333333333
"71",47040,2002,38.1666666666667,19.6666666666667,45.3333333333333,30.1666666666667,19.6666666666667
"72",50032,1997,11.75,1.25,13,11.0833333333333,1.25
"73",50032,2002,11,0.416666666666667,11.4166666666667,11,0.416666666666667
"74",50033,1997,13.25,0,13.25,11.25,0
"75",50033,2002,12.0833333333333,1.33333333333333,13.4166666666667,12.0833333333333,1.33333333333333
"76",50034,1997,23.6166666666667,11.3,26.0833333333333,23.6166666666667,11.3
