"","KID","m_pc_st","m_pc_raw"
"1",4037,NA,NA
"2",4038,NA,NA
"3",4039,93,31
"4",4041,89,30
"5",4042,89,30
"6",4043,110,35
"7",4180,NA,NA
"8",4187,87,28
"9",5032,92,32
"10",5033,90,31
"11",6034,100,34
"12",7039,75,23
"13",7040,75,23
"14",7041,78,26
"15",7044,78,26
"16",7045,73,24
"17",7046,73,24
"18",7047,73,24
"19",10033,92,32
"20",10034,77,26
"21",10035,77,26
"22",14030,89,31
"23",14031,89,31
"24",14032,115,37
"25",14033,115,37
"26",16033,NA,NA
"27",18038,100,34
"28",18039,101,35
"29",18040,101,35
"30",18041,109,36
"31",18187,103,34
"32",18189,103,34
"33",18191,84,28
"34",18192,84,28
"35",22030,93,31
"36",22031,NA,NA
"37",22176,107,36
"38",39031,NA,NA
"39",40035,NA,NA
"40",40038,91,31
"41",40039,91,31
"42",45032,87,28
"43",45033,NA,NA
"44",45034,NA,NA
"45",47034,NA,NA
"46",47035,NA,NA
"47",47036,NA,NA
"48",47037,94,33
"49",47038,94,33
"50",47039,NA,NA
"51",47040,NA,NA
"52",50032,92,31
"53",50033,92,31
"54",50034,101,35
"55",50035,101,35
"56",51031,97,34
"57",51032,97,34
"58",53035,84,28
"59",53036,84,28
"60",53038,93,33
"61",53040,93,33
"62",53041,99,34
"63",53042,86,30
"64",53205,100,34
"65",60036,100,35
"66",60037,100,35
"67",61032,119,38
"68",61034,119,38
"69",61035,105,36
"70",68030,87,30
"71",79032,100,34
"72",84033,NA,NA
"73",84034,92,32
"74",84035,92,32
"75",88035,82,28
"76",88036,82,28
"77",89034,101,34
"78",89035,100,32
"79",90030,77,26
"80",90031,93,32
"81",90032,93,32
"82",91031,NA,NA
"83",91032,NA,NA
"84",96031,94,32
"85",96032,94,32
"86",96033,NA,NA
"87",99032,96,33
"88",99033,96,33
"89",105035,74,23
"90",106031,77,26
"91",106032,77,26
"92",114033,118,38
"93",114034,100,34
"94",117031,NA,NA
"95",117032,NA,NA
"96",121030,124,39
"97",121032,104,35
"98",121033,104,35
"99",121036,124,39
"100",121037,106,36
"101",122034,NA,NA
"102",122036,99,35
"103",122037,NA,NA
"104",122174,99,35
"105",126030,NA,NA
"106",128030,NA,NA
"107",128031,NA,NA
"108",129040,91,31
"109",129041,83,28
"110",129197,83,28
"111",134030,92,32
"112",134031,92,32
"113",138032,85,29
"114",138033,85,29
"115",145030,103,36
"116",145031,103,36
"117",151037,NA,NA
"118",151038,NA,NA
"119",165032,99,33
"120",166033,120,38
"121",172036,97,32
"122",172179,95,33
"123",172180,95,33
"124",173035,89,29
"125",173036,104,35
"126",173037,90,29
"127",173038,97,33
"128",173039,104,35
"129",173040,97,33
"130",174033,119,38
"131",174034,NA,NA
"132",174036,119,38
"133",174037,82,26
"134",174040,82,26
"135",178033,128,40
"136",178034,128,40
"137",180030,NA,NA
"138",180032,NA,NA
"139",181031,118,38
"140",181032,118,38
"141",189031,114,38
"142",190033,NA,NA
"143",195030,99,35
"144",195031,99,35
"145",200034,NA,NA
"146",200035,97,32
"147",203031,103,35
"148",203033,103,35
"149",209030,NA,NA
"150",217032,91,30
"151",220030,111,37
"152",221032,104,35
"153",228031,NA,NA
"154",228032,NA,NA
"155",236032,97,34
"156",245034,92,29
"157",246031,NA,NA
"158",250031,NA,NA
"159",250032,66,22
"160",257037,84,29
"161",257039,84,29
"162",257040,NA,NA
"163",263038,100,35
"164",266031,NA,NA
"165",266033,NA,NA
"166",266035,NA,NA
"167",277033,81,27
"168",280032,86,29
"169",280033,86,29
"170",284030,97,34
"171",284031,97,34
"172",297048,84,27
"173",302036,100,34
"174",302037,100,34
"175",308037,107,35
"176",311032,99,34
"177",311033,99,34
"178",315030,84,28
"179",319031,104,34
"180",319032,120,39
"181",321032,114,37
"182",321176,NA,NA
"183",321177,NA,NA
"184",323032,118,38
"185",323033,118,38
"186",323034,137,41
"187",327033,NA,NA
"188",340031,NA,NA
"189",340034,NA,NA
"190",343032,90,31
"191",343033,90,31
"192",344031,NA,NA
"193",344032,NA,NA
"194",344033,100,35
"195",344034,100,35
"196",344186,NA,NA
"197",350030,94,33
"198",350031,94,33
"199",351037,87,29
"200",351038,88,29
"201",351039,91,32
"202",354031,104,35
"203",355031,108,36
"204",355032,119,38
"205",355033,119,38
"206",356031,78,27
"207",356032,83,28
"208",361176,89,30
"209",368032,118,38
"210",374030,100,34
"211",375030,99,34
"212",375031,99,34
"213",377030,105,36
"214",377031,105,36
"215",391031,101,34
"216",391032,NA,NA
"217",404033,64,21
"218",404035,64,21
"219",409033,97,34
"220",409177,NA,NA
"221",414038,150,42
"222",414039,NA,NA
"223",419033,84,27
"224",419034,62,20
"225",419035,62,20
"226",419036,75,25
"227",419037,75,25
"228",428030,97,33
"229",428032,97,33
"230",432032,93,31
"231",433031,95,33
"232",433034,95,33
"233",433037,NA,NA
"234",433038,89,31
"235",433040,89,31
"236",452037,90,31
"237",452038,98,34
"238",452178,90,31
"239",452187,96,33
"240",455032,NA,NA
"241",455033,NA,NA
"242",455034,NA,NA
"243",459031,100,34
"244",465033,NA,NA
"245",465034,NA,NA
"246",473035,79,27
"247",473036,100,35
"248",478038,111,37
"249",478039,111,37
"250",478040,98,32
"251",479030,91,31
"252",479031,91,31
"253",486030,89,31
"254",486031,118,38
"255",487035,107,36
"256",487036,83,28
"257",487176,83,28
"258",490032,111,37
"259",495034,NA,NA
"260",495035,101,34
"261",495036,122,39
"262",495174,97,32
"263",496031,91,29
"264",496032,97,33
"265",496183,89,31
"266",496184,89,31
"267",503173,NA,NA
"268",508031,114,38
"269",508032,114,38
"270",508033,NA,NA
"271",510031,97,34
"272",512031,115,37
"273",517030,NA,NA
"274",517031,NA,NA
"275",517032,81,28
"276",517033,100,35
"277",517034,100,35
"278",534032,105,36
"279",544032,NA,NA
"280",548035,NA,NA
"281",548036,96,33
"282",548037,100,35
"283",548038,100,35
"284",548039,92,32
"285",548040,92,32
"286",548189,87,29
"287",556036,NA,NA
"288",556037,120,38
"289",557176,NA,NA
"290",557177,NA,NA
"291",563043,93,33
"292",563044,61,19
"293",563045,93,33
"294",563046,61,19
"295",563047,114,35
"296",564034,NA,NA
"297",565031,114,38
"298",565032,NA,NA
"299",565033,114,38
"300",565034,NA,NA
"301",567177,100,32
"302",569031,70,21
"303",569032,70,21
"304",570035,77,24
"305",570036,77,24
"306",573033,107,36
"307",573035,107,36
"308",577032,93,32
"309",581172,74,24
"310",581173,74,24
"311",582032,160,43
"312",582033,160,43
"313",582034,97,33
"314",593030,128,40
"315",593031,118,38
"316",593033,128,40
"317",597035,89,30
"318",597036,89,30
"319",597037,86,28
"320",602034,104,34
"321",602035,84,29
"322",605031,114,38
"323",607040,94,32
"324",607042,94,32
"325",608186,79,27
"326",610033,NA,NA
"327",613031,89,30
"328",620033,97,33
"329",620035,97,33
"330",620037,118,38
"331",620039,118,38
"332",624172,NA,NA
"333",624173,NA,NA
"334",625030,162,43
"335",625031,110,36
"336",625032,110,36
"337",626044,NA,NA
"338",626045,115,38
"339",626047,NA,NA
"340",626048,98,34
"341",626189,98,34
"342",628034,92,32
"343",630033,127,39
"344",631035,NA,NA
"345",632176,91,31
"346",632177,91,31
"347",633041,94,33
"348",633042,94,33
"349",634031,81,28
"350",634032,81,28
"351",634034,111,37
"352",636031,114,37
"353",636033,114,37
"354",639032,99,34
"355",644031,97,33
"356",647033,95,31
"357",647034,95,31
"358",649032,NA,NA
"359",649033,NA,NA
"360",649034,87,30
"361",650178,NA,NA
"362",652033,90,31
"363",652034,104,35
"364",652035,90,31
"365",652037,90,31
"366",654032,NA,NA
"367",654033,NA,NA
"368",655030,94,33
"369",655031,94,33
"370",656031,109,36
"371",656033,98,34
"372",656034,98,34
"373",656035,109,36
"374",664030,118,38
"375",664032,113,37
"376",664034,113,37
"377",664035,118,38
"378",672172,NA,NA
"379",672174,NA,NA
"380",673032,NA,NA
"381",673033,NA,NA
"382",673174,NA,NA
"383",674030,NA,NA
"384",674031,84,29
"385",677034,NA,NA
"386",677037,91,30
"387",686036,76,24
"388",687171,NA,NA
"389",691030,NA,NA
"390",691031,99,34
"391",691032,NA,NA
"392",691033,99,34
"393",691034,87,30
"394",691035,87,30
"395",691036,90,31
"396",692033,92,31
"397",692038,90,31
"398",692039,90,31
"399",694033,95,33
"400",694034,95,33
"401",698034,93,32
"402",698035,93,32
"403",699033,84,29
"404",699034,84,29
"405",699035,97,34
"406",699036,97,34
"407",700032,92,32
"408",700034,92,32
"409",702032,94,33
"410",704030,100,35
"411",704031,100,35
"412",706030,100,35
"413",706171,100,35
"414",706177,95,32
"415",707030,93,33
"416",707032,93,33
"417",709038,93,33
"418",709039,93,33
"419",709040,98,31
"420",711030,94,32
"421",711031,94,32
"422",712034,95,32
"423",713037,106,36
"424",713039,95,32
"425",713184,NA,NA
"426",717033,115,38
"427",719173,101,35
"428",722034,70,23
"429",722035,91,30
"430",725031,95,33
"431",727030,113,37
"432",728032,129,40
"433",728033,106,35
"434",729031,93,31
"435",729032,93,31
"436",729040,106,35
"437",729041,99,35
"438",729042,106,35
"439",729043,99,35
"440",749033,100,34
"441",749034,100,34
"442",749035,84,29
"443",750031,96,33
"444",750032,96,33
"445",750033,111,37
"446",750034,97,34
"447",751035,NA,NA
"448",751037,90,30
"449",751038,90,30
"450",751039,89,30
"451",759031,125,39
"452",760030,99,34
"453",760172,86,29
"454",760173,86,29
"455",760176,99,34
"456",762031,91,32
"457",762174,NA,NA
"458",762175,NA,NA
"459",769033,99,35
"460",769035,92,32
"461",769036,96,33
"462",769037,96,33
"463",769038,99,35
"464",769039,92,32
"465",771031,82,28
"466",771032,82,28
"467",773036,94,33
"468",773037,94,33
"469",774031,118,38
"470",774032,118,38
"471",775031,122,39
"472",776030,98,34
"473",777031,NA,NA
"474",779038,NA,NA
"475",782171,86,30
"476",783031,82,28
