"","KID","LW_std","LW_raw","PC_std","PC_raw","AP_std","AP_raw","DigSpan","BPE","BPN","year"
"1",4037,NA,NA,NA,NA,NA,NA,NA,3,3,1997
"2",4038,NA,NA,NA,NA,NA,NA,NA,4,2,1997
"3",4039,112,27,112,14,111,24,13,15,10,1997
"4",4041,81,4,NA,NA,85,8,6,14,2,1997
"5",4042,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"6",4043,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"7",4180,93,43,93,25,94,35,19,0,3,1997
"8",4187,NA,NA,NA,NA,NA,NA,NA,0,0,1997
"9",5032,109,48,122,33,114,41,19,4,4,1997
"10",5033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"11",6034,98,46,122,33,112,42,13,0,0,1997
"12",7039,78,26,88,15,98,29,9,5,4,1997
"13",7040,90,24,97,14,106,26,9,10,5,1997
"14",7041,74,11,93,5,63,11,6,6,4,1997
"15",7044,79,2,NA,NA,88,6,5,2,2,1997
"16",7045,88,4,NA,NA,103,11,6,5,0,1997
"17",7046,NA,NA,NA,NA,95,6,2,NA,0,1997
"18",7047,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"19",10033,95,23,101,13,97,22,11,6,6,1997
"20",10034,140,37,127,17,131,27,15,2,0,1997
"21",10035,84,4,NA,NA,85,7,9,1,0,1997
"22",14030,99,43,103,27,93,32,12,3,1,1997
"23",14031,98,36,108,22,110,31,13,8,2,1997
"24",14032,113,13,NA,NA,127,19,11,2,0,1997
"25",14033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"26",16033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"27",18038,119,48,103,26,111,37,14,5,5,1997
"28",18039,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"29",18040,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"30",18041,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"31",18187,95,43,86,21,98,36,14,3,6,1997
"32",18189,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"33",18191,200,41,NA,22,183,30,10,6,2,1997
"34",18192,200,39,NA,24,183,30,15,4,2,1997
"35",22030,116,39,113,21,106,28,13,10,2,1997
"36",22031,NA,NA,NA,NA,NA,NA,NA,2,1,1997
"37",22176,100,12,NA,NA,92,13,7,5,1,1997
"38",39031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"39",40035,86,35,87,19,93,31,20,9,6,1997
"40",40038,77,4,NA,NA,127,20,10,8,8,1997
"41",40039,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"42",45032,80,5,NA,NA,95,12,6,3,0,1997
"43",45033,NA,NA,NA,NA,NA,NA,NA,2,0,1997
"44",45034,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"45",47034,NA,NA,NA,NA,NA,NA,NA,4,3,1997
"46",47035,NA,NA,NA,NA,NA,NA,NA,8,3,1997
"47",47036,NA,NA,NA,NA,NA,NA,NA,3,0,1997
"48",47037,140,39,133,22,115,24,14,5,4,1997
"49",47038,121,12,NA,NA,126,16,8,13,1,1997
"50",47039,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"51",47040,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"52",50032,141,45,117,21,128,32,13,7,2,1997
"53",50033,105,14,NA,NA,116,19,11,9,3,1997
"54",50034,105,7,NA,NA,97,7,1,3,0,1997
"55",50035,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"56",51031,88,29,99,18,93,25,10,6,0,1997
"57",51032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"58",53035,146,55,122,33,117,42,29,3,3,1997
"59",53036,123,48,101,24,97,31,10,6,5,1997
"60",53038,108,36,108,19,113,29,13,8,0,1997
"61",53040,93,12,NA,NA,106,18,9,6,0,1997
"62",53041,108,12,NA,NA,116,17,11,4,1,1997
"63",53042,124,13,NA,NA,96,7,5,6,2,1997
"64",53205,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"65",60036,105,15,NA,NA,104,17,11,7,10,1997
"66",60037,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"67",61032,155,53,124,26,117,32,17,6,0,1997
