"","KID","PPE","year"
"1",4037,NA,1997
"2",4038,NA,1997
"3",4039,NA,1997
"4",4041,NA,1997
"5",4042,NA,1997
"6",4043,NA,1997
"7",4180,NA,1997
"8",4187,2458,1997
"9",5032,3000,1997
"10",5033,NA,1997
"11",6034,6461.73,1997
"12",7039,NA,1997
"13",7040,NA,1997
"14",7041,NA,1997
"15",7044,NA,1997
"16",7045,NA,1997
"17",7046,NA,1997
"18",7047,NA,1997
"19",10033,NA,1997
"20",10034,NA,1997
"21",10035,NA,1997
"22",14030,3900,1997
"23",14031,3900,1997
"24",14032,NA,1997
"25",14033,NA,1997
"26",16033,NA,1997
"27",18038,NA,1997
"28",18039,NA,1997
"29",18040,NA,1997
"30",18041,NA,1997
"31",18187,NA,1997
"32",18189,NA,1997
"33",18191,NA,1997
"34",18192,NA,1997
"35",22030,2321,1997
"36",22031,NA,1997
"37",22176,NA,1997
"38",39031,NA,1997
"39",40035,NA,1997
"40",40038,NA,1997
"41",40039,NA,1997
"42",45032,NA,1997
"43",45033,NA,1997
"44",45034,NA,1997
"45",47034,NA,1997
"46",47035,3848,1997
"47",47036,NA,1997
"48",47037,4414,1997
"49",47038,NA,1997
"50",47039,NA,1997
"51",47040,NA,1997
"52",50032,NA,1997
"53",50033,NA,1997
"54",50034,NA,1997
"55",50035,NA,1997
"56",51031,NA,1997
"57",51032,NA,1997
"58",53035,4000,1997
"59",53036,NA,1997
"60",53038,NA,1997
"61",53040,NA,1997
"62",53041,NA,1997
"63",53042,NA,1997
"64",53205,NA,1997
"65",60036,NA,1997
"66",60037,NA,1997
"67",61032,NA,1997
"68",61034,NA,1997
"69",61035,NA,1997
"70",68030,NA,1997
"71",79032,NA,1997
"72",84033,2200,1997
"73",84034,18,1997
"74",84035,NA,1997
"75",88035,52.5,1997
"76",88036,NA,1997
"77",89034,NA,1997
"78",89035,NA,1997
"79",90030,NA,1997
"80",90031,NA,1997
"81",90032,NA,1997
"82",91031,NA,1997
"83",91032,NA,1997
"84",96031,NA,1997
"85",96032,NA,1997
"86",96033,NA,1997
"87",99032,NA,1997
"88",99033,NA,1997
"89",105035,NA,1997
"90",106031,NA,1997
"91",106032,NA,1997
"92",114033,NA,1997
"93",114034,NA,1997
"94",117031,NA,1997
"95",117032,NA,1997
