"","year","intnum","educ1","educ2","educ"
"1",1999,3,0,0,0
"2",1999,2,145,0,145
"3",1999,6129,0,0,0
"5",1999,6944,100,0,100
"6",1999,3818,100,0,100
"7",1999,1702,35,0,35
"9",1999,5478,0,0,0
"10",1999,2471,0,0,0
"11",1999,6965,500,0,500
"16",1999,2122,0,0,0
"17",1999,2560,0,0,0
"19",1999,6906,400,0,400
"20",1999,4920,0,0,0
"32",1999,376,0,0,0
"33",1999,379,3600,100,3700
"34",1999,374,0,0,0
"35",1999,4588,400,1212,1612
"46",1999,244,0,0,0
"48",1999,5379,400,0,400
"53",1999,286,0,0,0
"54",1999,245,600,0,600
"55",1999,2218,0,0,0
"56",1999,6278,0,0,0
"57",1999,2579,0,0,0
"58",1999,2670,300,0,300
"61",1999,6695,NA,0,NA
"62",1999,2216,0,0,0
"63",1999,6313,0,0,0
"76",1999,6377,0,0,0
"77",1999,4983,0,0,0
"86",1999,2296,0,0,0
"87",1999,1577,0,0,0
"88",1999,1578,0,0,0
"90",1999,990,0,0,0
"94",1999,4557,0,0,0
"95",1999,1389,0,0,0
"96",1999,4558,0,0,0
"100",1999,804,0,0,0
"101",1999,2627,0,0,0
"102",1999,64,0,0,0
"106",1999,2268,1000,0,1000
"107",1999,506,0,0,0
"108",1999,5089,3500,0,3500
"109",1999,192,0,0,0
"110",1999,193,0,0,0
"111",1999,1579,0,0,0
"116",1999,669,150,0,150
"119",1999,31,0,0,0
"122",1999,3664,200,0,200
"123",1999,754,0,0,0
"128",1999,4163,0,0,0
"129",1999,1547,0,0,0
"130",1999,4612,0,0,0
"131",1999,2070,6000,0,6000
"132",1999,1548,0,0,0
"133",1999,1741,0,0,0
"134",1999,2150,0,0,0
"136",1999,2149,430,0,430
"141",1999,2069,0,0,0
"143",1999,4157,60,0,60
"150",1999,630,0,0,0
"152",1999,629,0,0,0
"159",1999,127,0,0,0
"161",1999,3056,20,0,20
"162",1999,547,0,0,0
"163",1999,702,300,0,300
"166",1999,112,0,0,0
"167",1999,1494,0,0,0
"168",1999,4375,0,0,0
"169",1999,1105,0,0,0
"170",1999,4934,0,0,0
"171",1999,3397,1500,1575,3075
"172",1999,5431,0,0,0
"173",1999,1019,0,0,0
"174",1999,6120,0,0,0
"175",1999,1020,0,0,0
"176",1999,1018,0,0,0
"177",1999,911,0,0,0
"180",1999,35,0,0,0
"182",1999,5428,0,0,0
"184",1999,962,0,0,0
"192",1999,854,1000,0,1000
"194",1999,36,2000,0,2000
"195",1999,855,0,0,0
"203",1999,1429,0,0,0
"204",1999,1329,240,0,240
"207",1999,4037,0,0,0
"210",1999,6981,0,0,0
"212",1999,2478,800,0,800
"214",1999,2648,0,0,0
"217",1999,2129,0,0,0
"228",1999,554,100,0,100
"231",1999,219,0,0,0
"232",1999,375,35,430,465
"233",1999,6864,80,650,730
"234",1999,5973,0,0,0
"239",1999,307,0,0,0
"240",1999,162,0,0,0
"241",1999,570,0,0,0
"243",1999,1675,0,0,0
"244",1999,5748,0,0,0
"248",1999,2747,0,0,0
"249",1999,4580,4000,0,4000
"250",1999,115,0,0,0
"251",1999,2987,NA,0,NA
"252",1999,1842,0,0,0
"255",1999,5118,2000,0,2000
"256",1999,5529,110,0,110
"257",1999,5115,0,0,0
"258",1999,5672,0,0,0
"259",1999,6448,500,500,1000
"262",1999,5220,0,0,0
"267",1999,296,60,0,60
"269",1999,113,0,0,0
"272",1999,129,0,0,0
"273",1999,1606,0,0,0
"274",1999,3537,0,0,0
"275",1999,2330,0,0,0
"276",1999,2758,0,0,0
"277",1999,3934,0,0,0
"278",1999,217,0,0,0
"279",1999,2328,0,0,0
"280",1999,2855,0,0,0
"281",1999,2543,0,0,0
"289",1999,3333,200,0,200
"290",1999,703,2000,0,2000
"293",1999,461,0,0,0
"299",1999,460,0,0,0
"300",1999,45,0,0,0
"302",1999,6869,0,0,0
"314",1999,5424,0,0,0
"316",1999,2701,0,0,0
"318",1999,2700,5500,0,5500
"320",1999,3667,0,0,0
"321",1999,428,800,0,800
"322",1999,2596,0,0,0
"323",1999,2702,5000,0,5000
"324",1999,11,0,0,0
"325",1999,10,60,0,60
"326",1999,1433,11000,600,11600
"331",1999,406,0,0,0
"334",1999,1919,0,0,0
