"","KID","MID"
"1",4037,4179
"2",4038,4007
"3",4039,4031
"4",4041,4031
"5",4042,4031
"6",4043,4036
"7",4180,4179
"8",4187,4005
"9",5032,5170
"10",5033,5172
"11",6034,6172
"12",7039,7171
"13",7040,7171
"14",7041,7030
"15",7044,7030
"16",7045,7175
"17",7046,7034
"18",7047,7034
"19",10033,10177
"20",10034,10006
"21",10035,10006
"22",14030,14172
"23",14031,14172
"24",14032,14003
"25",14033,14003
"26",16033,16004
"27",18038,18170
"28",18039,18031
"29",18040,18031
"30",18041,18185
"31",18191,18190
"32",18192,18190
"33",22030,22003
"34",22031,22173
"35",22176,22175
"36",39031,39174
"37",40035,40004
"38",40038,40030
"39",40039,40030
"40",45032,45031
"41",45033,45031
"42",45034,45030
"43",47034,47004
"44",47035,47031
"45",47036,47004
"46",47037,47173
"47",47038,47173
"48",47039,47031
"49",47040,47032
"50",50032,50171
"51",50033,50171
"52",50034,50005
"53",50035,50005
"54",51031,51030
"55",51032,51030
"56",53035,53006
"57",53036,53004
"58",53038,53180
"59",53040,53180
"60",53041,53170
"61",53042,53191
"62",53205,53202
"63",60036,60032
"64",60037,60032
"65",61032,61005
"66",61034,61005
"67",61035,61172
"68",68030,68175
"69",79032,79003
"70",84033,84172
"71",84034,84177
"72",84035,84177
"73",88035,88174
"74",88036,88174
"75",89034,89003
"76",89035,89031
"77",90030,90171
"78",90031,90003
"79",90032,90003
"80",91031,91003
"81",91032,91003
"82",96031,96003
"83",96032,96003
"84",96033,96005
"85",99032,99171
"86",99033,99171
"87",105035,105004
"88",106031,106173
"89",106032,106173
"90",114033,114173
"91",114034,114170
"92",117031,117030
"93",117032,117030
"94",121030,121007
"95",121032,121170
"96",121033,121170
"97",121036,121007
"98",121037,121173
"99",122034,122170
"100",122036,122173
"101",122037,122171
"102",122174,122173
"103",126030,126003
"104",128030,128172
"105",128031,128172
"106",129040,129036
"107",129041,129035
"108",129197,129035
"109",134030,134171
"110",134031,134171
"111",138032,138031
"112",138033,138031
"113",145030,145003
"114",145031,145003
"115",151037,151171
"116",151038,151171
"117",165032,165004
"118",166033,166170
"119",172036,172034
"120",172179,172177
"121",172180,172177
"122",173035,173003
"123",173036,173005
"124",173037,173003
"125",173038,173004
"126",173039,173005
"127",173040,173004
"128",174033,174171
"129",174034,174008
"130",174036,174171
"131",174037,174006
"132",174040,174006
"133",178033,178171
"134",178034,178171
"135",180030,180171
"136",180032,180171
"137",181031,181171
"138",181032,181171
"139",189031,189004
"140",190033,190004
"141",195030,195170
"142",195031,195170
"143",200034,200170
"144",200035,200175
"145",203031,203005
"146",203033,203005
"147",209030,209170
"148",217032,217170
"149",220030,220170
"150",221032,221171
"151",228031,228172
"152",228032,228005
"153",236032,236003
"154",245034,245170
"155",246031,246003
"156",250031,250003
"157",250032,250003
"158",257037,257174
"159",257039,257174
"160",257040,257030
"161",263038,263031
"162",266031,266005
"163",266033,266005
"164",266035,266030
"165",277033,277176
"166",280032,280172
"167",280033,280172
"168",284030,284170
"169",284031,284170
"170",297048,297007
"171",302036,302174
"172",302037,302174
"173",308037,308003
"174",311032,311003
"175",311033,311003
"176",315030,315170
"177",319031,319005
"178",319032,319003
"179",321032,321004
"180",321176,321005
"181",321177,321005
"182",323032,323004
"183",323033,323004
"184",323034,323173
"185",327033,327172
"186",340031,340172
"187",340034,340172
"188",343032,343171
"189",343033,343171
"190",344031,344006
"191",344032,344006
"192",344033,344178
"193",344034,344178
"194",344186,344184
"195",350030,350003
"196",350031,350003
"197",351037,351006
"198",351038,351003
"199",351039,351173
"200",354031,354171
"201",355031,355003
"202",355032,355171
"203",355033,355171
"204",356031,356003
"205",356032,356177
"206",368032,368170
"207",374030,374005
"208",375030,375003
"209",375031,375003
"210",377030,377004
"211",377031,377004
"212",391031,391003
"213",391032,391173
"214",404033,404174
"215",404035,404174
"216",409033,409030
"217",409177,409174
"218",414038,414005
"219",414039,414003
"220",419033,419173
"221",419034,419031
"222",419035,419031
"223",419036,419030
"224",419037,419030
"225",428030,428170
"226",428032,428170
"227",432032,432031
"228",433031,433008
"229",433034,433008
"230",433037,433174
"231",433038,433175
"232",433040,433175
"233",452037,452177
"234",452038,452030
"235",452178,452177
"236",452187,452179
"237",455032,455003
"238",455033,455003
"239",455034,455030
"240",459031,459170
"241",465033,465030
"242",465034,465030
"243",473035,473004
"244",473036,473177
"245",478038,478030
"246",478039,478030
"247",478040,478036
"248",479030,479170
"249",479031,479170
"250",486030,486171
"251",486031,486170
"252",487035,487170
"253",487036,487175
"254",487176,487175
"255",490032,490172
"256",495034,495033
"257",495035,495033
"258",495036,495030
"259",495174,495173
"260",496031,496180
"261",496032,496185
"262",496183,496006
"263",496184,496006
"264",503173,503172
"265",508031,508004
"266",508032,508004
"267",508033,508175
"268",510031,510030
"269",512031,512002
"270",517030,517004
"271",517031,517004
"272",517032,517006
"273",517033,517005
"274",517034,517005
"275",534032,534031
"276",544032,544170
"277",548035,548178
"278",548036,548175
"279",548037,548182
"280",548038,548182
"281",548039,548183
"282",548040,548183
"283",548189,548176
"284",556036,556174
"285",556037,556177
"286",557176,557030
"287",557177,557030
"288",563043,563183
"289",563044,563032
"290",563045,563183
"291",563046,563032
"292",563047,563040
"293",564034,564032
