KIDS,KID97,ER30000,ER30001,ER30002,ER33401,ER33402,ER33403,DEMREL97,PCG,PCGCHREL97,Q1PCRAW,BPI_E97,BPI_N97,BPI_T97,POSBEH97,Q1PCSS,Q1PCPR,Q1PCW
1,1.2,2,4,37,4773,3,30,6,1,4,99,3,3,6,4.5,0,0,0
1,1.2,2,4,38,5491,2,30,6,1,4,99,4,2,6,4.5999999,0,0,0
1,1.2,2,4,39,3854,4,60,6,1,4,31,15,10,24,3.5999999,93,33,521
1,1.2,2,4,41,4246,2,30,6,1,4,30,14,2,15,2.5599999,89,23,518
1,1.2,2,4,42,4246,3,30,6,1,4,30,99,99,99,0,89,23,518
1,1.2,2,4,43,5490,3,30,6,1,4,35,99,99,99,0,110,74,533
1,1.2,2,4,180,4773,2,30,6,1,4,99,0,3,3,4.6999998,0,0,0
1,1.2,2,4,187,3853,3,30,6,1,4,28,0,0,0,4.4000001,87,19,512
1,1.2,2,5,32,368,4,30,6,1,4,32,4,4,8,4.6999998,92,30,524
1,1.2,2,5,33,3633,5,30,6,1,4,31,99,99,99,0,90,25,521
1,1.2,2,6,34,6048,5,30,6,1,4,34,0,0,0,4.6999998,100,50,530
1,1.2,2,7,39,1111,5,30,6,1,4,23,5,4,9,4.4000001,75,5,497
1,1.2,2,7,40,1111,6,30,6,1,4,23,10,5,15,3.5999999,75,5,497
1,1.2,2,7,41,1114,4,60,6,1,4,26,6,4,10,3.7,78,7,506
1,1.2,2,7,44,1114,6,60,6,1,4,26,2,2,4,4.9000001,78,7,506
1,1.2,2,7,45,1910,5,60,6,1,4,24,5,0,5,4.8000002,73,4,500
1,1.2,2,7,46,5107,2,30,6,1,4,24,99,0,99,4.6999998,73,4,500
1,1.2,2,7,47,5107,4,30,6,1,4,24,99,99,99,0,73,4,500
1,1.2,2,10,33,6041,2,30,6,1,4,32,6,6,11,4.3000002,92,30,524
1,1.2,2,10,34,1336,4,30,6,1,4,26,2,0,2,4.6999998,77,6,506
1,1.2,2,10,35,1336,5,30,6,1,4,26,1,0,1,4.5999999,77,6,506
1,1.2,2,14,30,1179,3,30,6,1,4,31,3,1,4,4.4000001,89,23,521
1,1.2,2,14,31,1179,4,30,6,1,4,31,8,2,10,4.3000002,89,23,521
1,1.2,2,14,32,681,3,30,6,1,4,37,2,0,2,4.5999999,115,84,540
1,1.2,2,14,33,681,4,30,6,1,4,37,99,99,99,0,115,84,540
1,1.2,2,16,33,1721,3,30,6,1,4,99,99,99,99,9,0,0,0
1,1.2,2,18,38,690,3,30,6,1,4,34,5,5,10,4.0999999,100,50,530
1,1.2,2,18,39,687,3,30,6,1,4,35,99,99,99,0,101,54,533
1,1.2,2,18,40,687,4,30,6,1,4,35,99,99,99,0,101,54,533
1,1.2,2,18,41,4261,4,30,6,1,4,36,99,99,99,0,109,72,536
1,1.2,2,18,187,1487,4,38,6,1,4,34,3,6,9,4.6999998,103,57,530
1,1.2,2,18,189,1487,6,38,6,1,4,34,99,99,99,0,103,57,530
1,1.2,2,18,191,5256,3,83,6,1,4,28,6,2,8,4.5,84,15,512
1,1.2,2,18,192,5256,4,83,6,1,4,28,4,2,6,4.8000002,84,15,512
1,1.2,2,22,30,3651,3,30,6,1,4,31,10,2,12,4,93,32,521
1,1.2,2,22,31,3649,2,30,6,1,4,99,2,1,3,5,0,0,0
1,1.2,2,22,176,5098,3,30,6,1,4,36,5,1,6,4.1999998,107,69,536
1,1.2,2,39,31,1293,3,30,6,1,4,99,99,99,99,0,0,0,0
1,1.2,2,40,35,3434,3,30,6,2,4,27,9,6,14,3.7,81,10,509
1,1.2,2,40,38,5300,4,33,6,1,4,31,8,8,16,4.1999998,91,26,521
1,1.2,2,40,39,5300,5,30,6,1,4,31,99,99,99,0,91,26,521
1,1.2,2,45,32,150,3,60,6,1,4,28,3,0,3,4.5999999,87,20,512
1,1.2,2,45,33,4731,3,97,6,3,4,38,2,0,2,4,120,90,543
1,1.2,2,45,34,151,2,30,6,1,4,99,99,99,99,0,0,0,0
1,1.2,2,47,34,367,3,30,6,1,4,99,4,3,7,4.0999999,0,0,0
1,1.2,2,47,35,4601,3,30,6,1,4,99,8,3,11,4.1999998,0,0,0
1,1.2,2,47,36,367,4,30,6,1,4,99,3,0,3,4.5999999,0,0,0
1,1.2,2,47,37,2732,3,30,6,1,4,33,5,4,8,4.0999999,94,34,526
1,1.2,2,47,38,2732,4,30,6,1,4,33,13,1,13,3.8,94,34,526
1,1.2,2,47,39,4601,4,30,6,1,4,99,99,99,99,0,0,0,0
1,1.2,2,47,40,5905,3,30,6,1,4,99,99,99,99,0,0,0,0
1,1.2,2,50,32,1273,3,30,6,1,4,31,7,2,8,4.5999999,92,29,521
1,1.2,2,50,33,1273,4,30,6,1,4,31,9,3,11,4.5999999,92,29,521
1,1.2,2,50,34,475,3,30,6,1,4,35,3,0,3,4.3000002,101,54,533
1,1.2,2,50,35,475,4,30,6,1,4,35,99,99,99,0,101,54,533
1,1.2,2,51,31,228,3,30,6,1,4,34,6,0,6,4.1999998,97,43,530
1,1.2,2,51,32,228,4,30,6,1,4,34,99,99,99,0,97,43,530
1,1.2,2,53,35,2696,2,30,6,1,4,28,3,3,6,4.4000001,84,15,512
1,1.2,2,53,36,3378,4,30,6,1,4,28,6,5,11,4.3000002,84,15,512
1,1.2,2,53,38,5033,3,30,6,1,4,33,8,0,8,4.8000002,93,32,526
1,1.2,2,53,40,5033,4,30,6,1,4,33,6,0,6,4.6999998,93,32,526
1,1.2,2,53,41,3530,5,30,6,1,4,34,4,1,5,4,99,48,530
1,1.2,2,53,42,5034,4,30,6,1,4,30,6,2,8,4.5999999,86,18,518
1,1.2,2,53,205,4739,5,30,6,1,4,34,99,99,99,0,100,50,530
1,1.2,2,60,36,457,3,30,6,1,4,35,7,10,17,4,100,50,533
1,1.2,2,60,37,457,4,30,6,1,4,35,99,99,99,0,100,50,533
1,1.2,2,61,32,5104,3,30,6,1,4,38,6,0,6,4.5,119,90,543
1,1.2,2,61,34,5104,5,30,6,1,4,38,6,0,6,4.4000001,119,90,543
1,1.2,2,61,35,1460,3,30,6,1,4,36,99,99,99,0,105,62,536
1,1.2,2,68,30,2817,3,30,6,1,4,30,5,1,6,4.5,87,19,518
1,1.2,2,79,32,3189,4,30,6,1,4,34,3,1,4,4.8000002,100,50,530
1,1.2,2,84,33,1359,2,30,6,2,4,33,5,1,6,3.9000001,105,64,526
1,1.2,2,84,34,1837,3,35,6,1,4,32,12,7,18,3.2,92,30,524
1,1.2,2,84,35,1837,4,35,6,1,4,32,9,2,11,3.7,92,30,524
1,1.2,2,88,35,3876,3,30,6,1,4,28,4,0,4,4.5999999,82,11,512
1,1.2,2,88,36,3876,4,30,6,1,4,28,1,0,1,5,82,11,512
1,1.2,2,89,34,3906,3,30,6,1,4,34,9,5,13,3.2,101,54,530
1,1.2,2,89,35,5546,3,30,6,1,4,32,99,99,99,0,100,50,524
1,1.2,2,90,30,1174,3,30,6,1,4,26,2,0,2,4.9000001,77,6,506
1,1.2,2,90,31,674,3,30,6,1,4,32,5,1,6,3.9000001,93,33,524
1,1.2,2,90,32,674,4,30,6,1,4,32,99,99,99,0,93,33,524
1,1.2,2,91,31,3348,3,30,6,1,4,99,5,0,5,3.4000001,0,0,0
1,1.2,2,91,32,3348,4,30,6,1,4,99,99,99,99,0,0,0,0
1,1.2,2,96,31,1503,4,30,6,1,4,32,4,3,7,4.1999998,94,35,524
1,1.2,2,96,32,1503,5,30,6,1,4,32,3,0,3,4.1999998,94,35,524
1,1.2,2,96,33,4750,3,30,6,1,4,99,99,99,99,0,0,0,0
1,1.2,2,99,32,21,3,30,6,1,4,33,14,7,20,3.8,96,39,526
1,1.2,2,99,33,21,4,30,6,1,4,33,99,99,99,0,96,39,526
1,1.2,2,105,35,956,2,30,6,1,4,23,9,5,14,4.1999998,74,4,497
1,1.2,2,106,31,4006,2,30,6,1,4,26,9,2,11,4,77,6,506
1,1.2,2,106,32,4006,3,30,6,1,4,26,10,2,12,4.1999998,77,6,506
1,1.2,2,114,33,2925,4,30,6,1,4,38,14,6,19,2.7,118,89,543
1,1.2,2,114,34,97,4,30,6,1,4,34,3,0,3,4.5,100,50,530
1,1.2,2,117,31,2642,3,30,6,1,4,99,0,2,2,4.5999999,0,0,0
1,1.2,2,117,32,2642,4,30,6,1,4,99,99,99,99,0,0,0,0
1,1.2,2,121,30,3368,3,30,6,1,4,39,3,6,8,4.0999999,124,94,547
1,1.2,2,121,32,1962,3,30,6,1,4,35,13,10,22,2.9000001,104,62,533
1,1.2,2,121,33,1962,4,30,6,1,4,35,8,2,10,4.1999998,104,62,533
1,1.2,2,121,36,3368,5,30,6,1,4,39,8,9,16,3.5,124,94,547
1,1.2,2,121,37,2121,3,30,6,1,4,36,10,4,13,4.4000001,106,65,536
1,1.2,2,122,34,2262,3,30,6,1,4,99,9,4,12,4.1999998,0,0,0
1,1.2,2,122,36,1504,4,30,6,1,4,35,1,0,1,4.9000001,99,48,533
1,1.2,2,122,37,1933,3,30,6,1,4,99,99,99,99,0,0,0,0
1,1.2,2,122,174,1504,3,30,6,1,4,35,0,1,1,4.6999998,99,48,533
1,1.2,2,126,30,2008,3,30,6,1,4,99,2,2,4,4,0,0,0
1,1.2,2,128,30,1466,3,30,6,1,4,99,99,1,99,4.5999999,0,0,0
1,1.2,2,128,31,1466,4,30,6,1,4,99,99,2,99,4,0,0,0
1,1.2,2,129,40,4847,3,30,6,1,4,31,2,0,2,4.3000002,91,28,521
1,1.2,2,129,41,3635,4,30,6,1,4,28,5,0,5,4.4000001,83,13,512
1,1.2,2,129,197,3635,3,30,6,1,4,28,1,0,1,4.8000002,83,13,512
1,1.2,2,134,30,6097,4,30,6,1,4,32,99,99,99,0,92,30,524
1,1.2,2,134,31,6097,5,30,6,1,4,32,99,99,99,0,92,30,524
1,1.2,2,138,32,4499,2,30,6,1,4,29,13,7,19,4.1999998,85,16,515
1,1.2,2,138,33,4499,3,30,6,1,4,29,7,1,8,3.8,85,16,515
1,1.2,2,145,30,2344,3,30,6,1,4,36,6,2,8,4.6999998,103,58,536
1,1.2,2,145,31,2344,4,30,6,1,4,36,3,1,4,4.4000001,103,58,536
1,1.2,2,151,37,4307,5,30,6,1,4,99,7,3,10,3.9000001,0,0,0
1,1.2,2,151,38,4307,6,30,6,1,4,99,99,99,99,0,0,0,0
1,1.2,2,165,32,3345,4,30,6,1,4,33,0,0,0,5,99,46,526
1,1.2,2,166,33,3195,5,30,6,1,4,38,9,9,18,3.5,120,90,543
