"","ID","Race"
"1",637001,1
"2",1734001,1
"3",5420001,1
"4",6733001,2
"5",1088173,1
"6",279001,1
"7",1535001,1
"8",5716001,2
"9",1277001,1
"10",6627001,2
"11",1011001,1
"12",1118002,1
"13",2071001,1
"14",2374001,1
"15",5557001,1
"16",5328001,2
"17",487001,1
"18",926001,1
"19",6811001,7
"20",892001,1
"21",1456001,1
"22",5589001,2
"23",6269001,1
"24",6857001,2
"25",6860001,2
"26",1289001,1
"27",689001,1
"28",627001,1
"29",1408001,1
"30",715001,1
"31",1506001,1
"32",141001,1
"33",5725170,3
"34",1816001,1
"35",1001,1
"36",2476001,1
"37",6653001,2
"38",63001,1
"39",6380001,1
"40",5696001,1
"41",6817001,2
"42",262001,1
"43",570001,2
"44",5665001,1
"45",5666001,1
"46",6087001,3
"47",1138001,7
"48",2184001,1
"49",705001,1
"50",1764001,1
"51",6619170,2
"52",5804001,1
"53",6379001,1
"54",2856001,2
"55",309001,1
"56",5760001,1
"57",6538001,2
"58",625001,1
"59",2704180,1
"60",1934001,1
"61",5429001,2
"62",1009170,2
"63",186001,1
"64",1231001,1
"65",2623001,1
"66",6213001,1
"67",5482001,2
"68",6270001,2
"69",6271001,2
"70",5743183,1
"71",268001,1
"72",2367001,1
"73",6500001,1
"74",669001,1
"75",1027001,1
"76",2148001,1
"77",6614002,1
"78",5271001,1
"79",5089001,2
"80",5620001,2
"81",790001,1
"82",792001,1
"83",955002,1
"84",5445001,2
"85",1103001,1
"86",6369002,2
"87",5607001,2
"88",5513001,2
"89",1294001,1
"90",308176,1
"91",1495001,1
"92",6069001,2
"93",6149002,2
"94",2363001,1
"95",2115001,1
"96",5598001,2
"97",6279001,1
"98",5308001,2
"99",5058001,2
"100",1279001,1
"101",2223001,1
"102",1133001,1
"103",295001,2
"104",2612001,1
"105",1539001,1
"106",987001,1
"107",2347001,1
"108",6395001,1
"109",2866001,1
"110",2141001,1
"111",6010001,2
"112",6336170,2
"113",1996001,2
"114",1916173,1
"115",5840001,2
"116",5109011,7
"117",547001,1
"118",807001,1
"119",1998001,2
"120",1082001,1
"121",5401001,1
"122",5309001,2
"123",5223001,2
"124",5114001,1
"125",2214001,1
"126",6488171,2
"127",409001,1
"128",1607227,1
"129",360001,1
"130",6248001,3
"131",6821171,2
"132",589001,1
"133",2264001,1
"134",2378001,1
"135",249001,1
"136",6088173,2
"137",6770001,2
"138",5088002,3
"139",2454002,1
"140",1393001,1
"141",6400001,2
"142",6239001,2
"143",6254001,1
