"","MID","FID","earn","earnu","wage","ww","hw","year","hrs"
"1",4001,4001,0,0,NA,0,0,1997,0
"2",4002,4002,0,0,NA,0,0,1997,0
"3",4003,4003,20000,6,9.8,51,40,1997,2040
"4",4004,4004,30000,6,8.88,52,65,1997,3380
"5",4005,4005,0,0,NA,0,0,1997,0
"6",4006,4006,16000,6,10,40,40,1997,1600
"7",4007,4007,30000,6,14.71,51,40,1997,2040
"8",4008,4008,30000,6,11.54,52,50,1997,2600
"9",4031,4031,0,0,NA,0,0,1997,0
"10",4033,4033,15000,6,7.35,51,40,1997,2040
"11",4034,4034,6000,6,3,50,40,1997,2000
"12",4035,4035,12000,6,8,50,30,1997,1500
"13",4036,4036,20000,6,10,50,40,1997,2000
"14",4037,4037,0,0,NA,0,0,1997,0
"15",4038,4038,0,0,NA,0,0,1997,0
"16",4039,4039,0,0,NA,0,0,1997,0
"17",4041,4041,0,0,NA,0,0,1997,0
"18",4042,4042,0,0,NA,0,0,1997,0
"19",4043,4043,0,0,NA,0,0,1997,0
"20",4044,4044,0,0,NA,0,0,1997,0
"21",4045,4045,0,0,NA,0,0,1997,0
"22",4046,4046,0,0,NA,0,0,1997,0
"23",4172,4172,45000,6,20,45,50,1997,2250
"24",4173,4173,15000,6,7.5,50,40,1997,2000
"25",4175,4175,37000,6,19.68,47,40,1997,1880
"26",4179,4179,9600,6,6.15,52,30,1997,1560
"27",4180,4180,0,0,NA,0,0,1997,0
"28",4186,4186,60000,6,31.25,48,40,1997,1920
"29",4187,4187,0,0,NA,0,0,1997,0
"30",4188,4188,64000,6,33.33,48,40,1997,1920
"31",4190,4190,0,0,NA,0,0,1997,0
"32",4191,4191,0,0,NA,0,0,1997,0
"33",4192,4192,0,0,NA,0,0,1997,0
"34",4193,4193,0,0,NA,0,0,1997,0
"35",4194,4194,0,0,NA,0,0,1997,0
"36",4195,4195,0,0,NA,0,0,1997,0
"37",4196,4196,0,0,NA,0,0,1997,0
"38",5002,5002,0,0,NA,0,0,1997,0
"39",5003,5003,32000,6,13.33,50,48,1997,2400
"40",5004,5004,1800,6,1.33,45,30,1997,1350
"41",5005,5005,32000,6,11.4,52,54,1997,2808
"42",5031,5031,0,0,NA,0,0,1997,0
"43",5032,5032,0,0,NA,0,0,1997,0
"44",5033,5033,0,0,NA,0,0,1997,0
"45",5170,5170,16000,6,8.89,50,36,1997,1800
"46",5171,5171,0,0,NA,0,0,1997,0
"47",5172,5172,17000,6,8.85,48,40,1997,1920
"48",5173,5173,0,0,NA,0,0,1997,0
"49",5174,5174,0,0,NA,0,0,1997,0
"50",5175,5175,0,0,NA,0,0,1997,0
"51",5176,5176,0,0,NA,0,0,1997,0
"52",5177,5177,0,0,NA,0,0,1997,0
"53",5178,5178,0,0,NA,0,0,1997,0
"54",5179,5179,0,0,NA,0,0,1997,0
"55",5180,5180,0,0,NA,0,0,1997,0
"56",6001,6001,2000,6,100,2,10,1997,20
"57",6002,6002,0,0,NA,0,0,1997,0
"58",6003,6003,0,0,NA,0,0,1997,0
"59",6004,6004,17500,6,7.65,52,44,1997,2288
"60",6006,6006,240000,6,81.63,49,60,1997,2940
"61",6030,6030,40000,6,19.23,52,40,1997,2080
"62",6031,6031,1200,6,9.38,8,16,1997,128
"63",6032,6032,0,0,NA,0,0,1997,0
"64",6033,6033,0,0,NA,0,0,1997,0
"65",6034,6034,0,0,NA,0,0,1997,0
"66",6035,6035,0,0,NA,0,0,1997,0
"67",6170,6170,35000,6,13.46,52,50,1997,2600
"68",6172,6172,10000,6,51.02,49,4,1997,196
"69",6174,6174,10000,6,9.62,52,20,1997,1040
"70",7002,7002,0,0,NA,0,0,1997,0
"71",7003,7003,0,0,NA,0,0,1997,0
"72",7004,7004,9500,6,4.85,49,40,1997,1960
"73",7005,7005,0,0,NA,0,0,1997,0
"74",7030,7030,0,0,NA,0,0,1997,0
"75",7031,7031,NA,9,NA,36,48,1997,1728
"76",7032,7032,200,3,5,52,40,1997,2080
"77",7033,7033,1000,6,0.48,52,40,1997,2080
"78",7034,7034,0,0,NA,0,0,1997,0
"79",7035,7035,9600,6,4.62,52,40,1997,2080
"80",7036,7036,0,0,NA,0,0,1997,0
"81",7037,7037,0,0,NA,0,0,1997,0
"82",7038,7038,0,0,NA,0,0,1997,0
"83",7039,7039,0,0,NA,0,0,1997,0
"84",7040,7040,0,0,NA,0,0,1997,0
"85",7041,7041,0,0,NA,0,0,1997,0
"86",7042,7042,0,0,NA,0,0,1997,0
"87",7043,7043,0,0,NA,0,0,1997,0
"88",7044,7044,0,0,NA,0,0,1997,0
"89",7045,7045,0,0,NA,0,0,1997,0
"90",7046,7046,0,0,NA,0,0,1997,0
"91",7047,7047,0,0,NA,0,0,1997,0
"92",7048,7048,0,0,NA,0,0,1997,0
"93",7049,7049,0,0,NA,0,0,1997,0
"94",7050,7050,0,0,NA,0,0,1997,0
"95",7051,7051,0,0,NA,0,0,1997,0
"96",7170,7170,NA,9,NA,52,40,1997,2080
"97",7171,7171,0,0,NA,0,0,1997,0
"98",7175,7175,0,0,NA,0,0,1997,0
"99",7180,7180,NA,9,NA,52,35,1997,1820
"100",7181,7181,0,0,NA,0,0,1997,0
"101",7182,7182,0,0,NA,0,0,1997,0
"102",7183,7183,0,0,NA,0,0,1997,0
"103",7184,7184,NA,9,NA,52,40,1997,2080
"104",7185,7185,NA,9,NA,NA,NA,1997,NA
"105",7186,7186,0,0,NA,0,0,1997,0
"106",7187,7187,0,0,NA,0,0,1997,0
"107",7188,7188,0,0,NA,0,0,1997,0
"108",7189,7189,0,0,NA,0,0,1997,0
"109",7190,7190,0,0,NA,0,0,1997,0
"110",7191,7191,0,0,NA,0,0,1997,0
"111",7192,7192,0,0,NA,0,0,1997,0
"112",7193,7193,0,0,NA,0,0,1997,0
"113",10001,10001,0,0,NA,0,0,1997,0
"114",10003,10003,0,0,NA,0,0,1997,0
"115",10006,10006,5400,6,10.8,20,25,1997,500
"116",10007,10007,0,0,NA,0,0,1997,0
"117",10021,10021,0,0,NA,0,0,1997,0
"118",10030,10030,54000,6,25.96,52,40,1997,2080
"119",10031,10031,0,0,NA,0,0,1997,0
"120",10032,10032,0,0,NA,0,0,1997,0
"121",10033,10033,0,0,NA,0,0,1997,0
"122",10034,10034,0,0,NA,0,0,1997,0
"123",10035,10035,0,0,NA,0,0,1997,0
"124",10171,10171,0,0,NA,0,0,1997,0
"125",10172,10172,0,0,NA,0,0,1997,0
"126",10176,10176,18000,6,8.65,52,40,1997,2080
"127",10177,10177,NA,9,NA,52,45,1997,2340
"128",10180,10180,0,0,NA,0,0,1997,0
"129",10181,10181,0,0,NA,0,0,1997,0
"130",11002,11002,0,0,NA,0,0,1997,0
"131",11003,11003,NA,9,NA,48,55,1997,2640
"132",11021,11021,NA,9,NA,12,40,1997,480
"133",13001,13001,0,0,NA,0,0,1997,0
"134",13002,13002,0,0,NA,0,0,1997,0
"135",13003,13003,0,0,NA,0,0,1997,0
"136",13004,13004,20000,6,15.02,36,37,1997,1332
"137",13030,13030,2000,6,4.17,12,40,1997,480
"138",13031,13031,0,0,NA,0,0,1997,0
"139",13170,13170,108600,6,49.73,52,42,1997,2184
"140",13176,13176,50000,6,24.04,52,40,1997,2080
"141",13178,13178,NA,9,NA,52,40,1997,2080
"142",14001,14001,0,0,NA,0,0,1997,0
"143",14002,14002,NA,9,NA,NA,29,1997,NA
"144",14003,14003,17000,6,22.14,32,24,1997,768
"145",14004,14004,52000,6,22.11,49,48,1997,2352
"146",14030,14030,0,0,NA,0,0,1997,0
"147",14031,14031,0,0,NA,0,0,1997,0
"148",14032,14032,0,0,NA,0,0,1997,0
"149",14033,14033,0,0,NA,0,0,1997,0
"150",14172,14172,0,0,NA,0,0,1997,0
"151",14173,14173,36000,6,16.36,44,50,1997,2200
"152",16002,16002,0,0,NA,0,0,1997,0
"153",16003,16003,5000,6,2.4,52,40,1997,2080
"154",16004,16004,22000,6,10.58,52,40,1997,2080
"155",16030,16030,0,0,NA,0,0,1997,0
"156",16032,16032,0,0,NA,0,0,1997,0
"157",16033,16033,0,0,NA,0,0,1997,0
"158",16034,16034,0,0,NA,0,0,1997,0
"159",16035,16035,0,0,NA,0,0,1997,0
"160",16036,16036,0,0,NA,0,0,1997,0
"161",16170,16170,25000,6,12.02,52,40,1997,2080
"162",16172,16172,22000,6,10.58,52,40,1997,2080
"163",16173,16173,0,0,NA,0,0,1997,0
"164",16174,16174,0,0,NA,0,0,1997,0
"165",16175,16175,0,0,NA,0,0,1997,0
"166",17001,17001,0,0,NA,0,0,1997,0
"167",18002,18002,0,0,NA,0,0,1997,0
"168",18003,18003,60000,6,24,50,50,1997,2500
"169",18004,18004,45000,6,17.31,52,50,1997,2600
"170",18005,18005,0,0,NA,0,0,1997,0
"171",18021,18021,42000,6,16.83,52,48,1997,2496
"172",18030,18030,31000,6,9.94,52,60,1997,3120
"173",18031,18031,0,0,NA,0,0,1997,0
"174",18035,18035,20000,6,50,40,10,1997,400
"175",18036,18036,0,0,NA,0,0,1997,0
"176",18037,18037,0,0,NA,0,0,1997,0
"177",18038,18038,0,0,NA,0,0,1997,0
"178",18039,18039,0,0,NA,0,0,1997,0
"179",18040,18040,0,0,NA,0,0,1997,0
"180",18041,18041,0,0,NA,0,0,1997,0
"181",18042,18042,0,0,NA,0,0,1997,0
"182",18043,18043,0,0,NA,0,0,1997,0
"183",18044,18044,0,0,NA,0,0,1997,0
"184",18045,18045,0,0,NA,0,0,1997,0
"185",18046,18046,0,0,NA,0,0,1997,0
"186",18170,18170,45000,6,21.63,52,40,1997,2080
"187",18172,18172,30000,6,15.31,49,40,1997,1960
"188",18173,18173,0,0,NA,0,0,1997,0
"189",18181,18181,0,0,NA,0,0,1997,0
"190",18183,18183,28000,6,13.46,52,40,1997,2080
"191",18184,18184,26000,6,12.5,52,40,1997,2080
"192",18185,18185,4000,6,41.67,12,8,1997,96
"193",18186,18186,0,0,NA,0,0,1997,0
"194",18187,18187,0,0,NA,0,0,1997,0
"195",18188,18188,0,0,NA,0,0,1997,0
"196",18189,18189,0,0,NA,0,0,1997,0
"197",18190,18190,25000,6,12.5,50,40,1997,2000
"198",18191,18191,0,0,NA,0,0,1997,0
"199",18192,18192,0,0,NA,0,0,1997,0
"200",18193,18193,45000,6,21.63,52,40,1997,2080
"201",18194,18194,0,0,NA,0,0,1997,0
"202",18195,18195,0,0,NA,0,0,1997,0
"203",18196,18196,0,0,NA,0,0,1997,0
"204",18197,18197,0,0,NA,0,0,1997,0
"205",19001,19001,0,0,NA,0,0,1997,0
"206",19002,19002,40000,6,15.38,52,50,1997,2600
"207",19003,19003,1500,6,6.25,6,40,1997,240
"208",19030,19030,0,0,NA,0,0,1997,0
"209",19171,19171,0,0,NA,0,0,1997,0
"210",22002,22002,0,0,NA,0,0,1997,0
"211",22003,22003,7000,6,4.88,41,35,1997,1435
"212",22004,22004,15000,6,7.5,50,40,1997,2000
"213",22030,22030,0,0,NA,0,0,1997,0
"214",22031,22031,0,0,NA,0,0,1997,0
"215",22032,22032,0,0,NA,0,0,1997,0
"216",22173,22173,30000,6,11.54,52,50,1997,2600
"217",22174,22174,12000,6,4.8,50,50,1997,2500
"218",22175,22175,30000,6,16.03,52,36,1997,1872
"219",22176,22176,0,0,NA,0,0,1997,0
"220",23003,23003,56000,6,25.04,52,43,1997,2236
"221",23030,23030,32000,6,12.8,50,50,1997,2500
"222",23031,23031,0,0,NA,0,0,1997,0
"223",23032,23032,0,0,NA,0,0,1997,0
"224",23177,23177,0,0,NA,0,0,1997,0
"225",23178,23178,0,0,NA,0,0,1997,0
"226",33002,33002,4000,6,5,40,20,1997,800
"227",36001,36001,0,0,NA,0,0,1997,0
"228",37001,37001,18000,6,24,50,15,1997,750
"229",37002,37002,30000,6,14.71,51,40,1997,2040
"230",37031,37031,9000,6,9,50,20,1997,1000
"231",38001,38001,30000,6,13.61,49,45,1997,2205
"232",38002,38002,24000,6,9.8,49,50,1997,2450
"233",39001,39001,NA,9,NA,48,70,1997,3360
"234",39002,39002,8500,6,2.53,48,70,1997,3360
"235",39003,39003,33000,6,17.19,48,40,1997,1920
"236",39030,39030,32500,6,16.25,50,40,1997,2000
"237",39031,39031,0,0,NA,0,0,1997,0
"238",39032,39032,0,0,NA,0,0,1997,0
"239",39033,39033,0,0,NA,0,0,1997,0
"240",39034,39034,0,0,NA,0,0,1997,0
"241",39170,39170,0,0,NA,0,0,1997,0
"242",39171,39171,60000,6,24,50,50,1997,2500
"243",39172,39172,18000,6,8.65,52,40,1997,2080
"244",39174,39174,0,0,NA,0,0,1997,0
"245",39175,39175,0,0,NA,0,0,1997,0
"246",40001,40001,0,0,NA,0,0,1997,0
"247",40002,40002,0,0,NA,0,0,1997,0
"248",40003,40003,35000,6,14,50,50,1997,2500
"249",40004,40004,18000,6,5.77,52,60,1997,3120
"250",40005,40005,41000,6,11.26,52,70,1997,3640
"251",40030,40030,11000,6,6.04,52,35,1997,1820
"252",40031,40031,0,0,NA,0,0,1997,0
"253",40032,40032,0,0,NA,0,0,1997,0
"254",40033,40033,0,0,NA,0,0,1997,0
"255",40034,40034,0,0,NA,0,0,1997,0
"256",40035,40035,0,0,NA,0,0,1997,0
"257",40036,40036,0,0,NA,0,0,1997,0
"258",40037,40037,0,0,NA,0,0,1997,0
"259",40038,40038,0,0,NA,0,0,1997,0
"260",40039,40039,0,0,NA,0,0,1997,0
"261",40040,40040,0,0,NA,0,0,1997,0
"262",40041,40041,0,0,NA,0,0,1997,0
"263",40170,40170,15000,6,7.5,50,40,1997,2000
"264",40171,40171,2000,6,10.42,4,48,1997,192
"265",40173,40173,34000,6,10.06,52,65,1997,3380
"266",40174,40174,20000,6,8.01,52,48,1997,2496
"267",40175,40175,0,0,NA,0,0,1997,0
"268",40176,40176,0,0,NA,0,0,1997,0
"269",40177,40177,0,0,NA,0,0,1997,0
"270",40178,40178,0,0,NA,0,0,1997,0
"271",40179,40179,0,0,NA,0,0,1997,0
"272",40180,40180,0,0,NA,0,0,1997,0
"273",40181,40181,0,0,NA,0,0,1997,0
"274",40186,40186,0,0,NA,0,0,1997,0
"275",41002,41002,0,0,NA,0,0,1997,0
"276",41003,41003,0,0,NA,0,0,1997,0
"277",41004,41004,54000,6,20.77,52,50,1997,2600
"278",41005,41005,0,0,NA,0,0,1997,0
"279",41007,41007,2500,6,2.4,52,20,1997,1040
"280",41008,41008,0,0,NA,0,0,1997,0
"281",41030,41030,0,0,NA,0,0,1997,0
"282",41031,41031,0,0,NA,0,0,1997,0
"283",41032,41032,0,0,NA,0,0,1997,0
"284",41033,41033,0,0,NA,0,0,1997,0
"285",41034,41034,0,0,NA,0,0,1997,0
"286",41035,41035,0,0,NA,0,0,1997,0
"287",41170,41170,22000,6,9.62,52,44,1997,2288
"288",41177,41177,0,0,NA,0,0,1997,0
"289",41178,41178,28000,6,13.46,52,40,1997,2080
"290",41179,41179,16000,6,15.87,42,24,1997,1008
"291",41180,41180,4000,6,4.81,52,16,1997,832
"292",41181,41181,0,0,NA,0,0,1997,0
"293",41182,41182,22000,6,8.46,52,50,1997,2600
"294",41183,41183,4000,6,5.13,52,15,1997,780
"295",41184,41184,0,0,NA,0,0,1997,0
"296",41185,41185,0,0,NA,0,0,1997,0
"297",41186,41186,0,0,NA,0,0,1997,0
"298",41187,41187,0,0,NA,0,0,1997,0
"299",41191,41191,0,0,NA,0,0,1997,0
"300",41192,41192,0,0,NA,0,0,1997,0
"301",41193,41193,0,0,NA,0,0,1997,0
"302",41194,41194,0,0,NA,0,0,1997,0
"303",41195,41195,0,0,NA,0,0,1997,0
"304",41196,41196,0,0,NA,0,0,1997,0
"305",41197,41197,0,0,NA,0,0,1997,0
"306",45003,45003,12000,6,5.77,52,40,1997,2080
"307",45030,45030,11000,6,5.39,51,40,1997,2040
"308",45031,45031,20000,6,5.34,52,72,1997,3744
"309",45032,45032,0,0,NA,0,0,1997,0
"310",45033,45033,0,0,NA,0,0,1997,0
"311",45034,45034,0,0,NA,0,0,1997,0
"312",45173,45173,18000,6,5.77,52,60,1997,3120
"313",45178,45178,20000,6,8.71,51,45,1997,2295
"314",45179,45179,3000,6,4.69,16,40,1997,640
"315",45180,45180,26000,6,13,50,40,1997,2000
"316",45181,45181,4000,6,5.19,35,22,1997,770
"317",45182,45182,0,0,NA,0,0,1997,0
"318",45183,45183,23000,6,5.53,52,80,1997,4160
"319",45184,45184,40000,6,16.34,51,48,1997,2448
"320",45185,45185,0,0,NA,0,0,1997,0
"321",46002,46002,0,0,NA,0,0,1997,0
"322",46003,46003,0,0,NA,0,0,1997,0
"323",46030,46030,0,0,NA,0,0,1997,0
"324",46171,46171,29000,6,13.94,52,40,1997,2080
"325",46172,46172,0,0,NA,0,0,1997,0
"326",46174,46174,4000,6,4.76,28,30,1997,840
"327",47001,47001,28000,6,13.46,52,40,1997,2080
"328",47002,47002,10000,6,6.41,52,30,1997,1560
"329",47004,47004,6000,6,NA,16,NA,1997,NA
"330",47005,47005,90000,6,45,50,40,1997,2000
"331",47031,47031,15000,6,12.02,52,24,1997,1248
"332",47032,47032,13000,6,14.77,44,20,1997,880
"333",47033,47033,9500,6,7.2,33,40,1997,1320
"334",47034,47034,0,0,NA,0,0,1997,0
"335",47035,47035,0,0,NA,0,0,1997,0
"336",47036,47036,0,0,NA,0,0,1997,0
"337",47037,47037,0,0,NA,0,0,1997,0
"338",47038,47038,0,0,NA,0,0,1997,0
"339",47039,47039,0,0,NA,0,0,1997,0
"340",47040,47040,0,0,NA,0,0,1997,0
"341",47041,47041,0,0,NA,0,0,1997,0
"342",47042,47042,0,0,NA,0,0,1997,0
"343",47043,47043,0,0,NA,0,0,1997,0
"344",47044,47044,0,0,NA,0,0,1997,0
"345",47170,47170,12000,6,5.77,52,40,1997,2080
"346",47173,47173,5000,6,111.11,5,9,1997,45
"347",47174,47174,20000,6,9.62,52,40,1997,2080
"348",47175,47175,8000,6,10.53,38,20,1997,760
"349",47176,47176,28000,6,14.29,49,40,1997,1960
"350",47177,47177,0,0,NA,0,0,1997,0
"351",47178,47178,0,0,NA,0,0,1997,0
"352",47179,47179,0,0,NA,0,0,1997,0
"353",47180,47180,0,0,NA,0,0,1997,0
"354",47181,47181,0,0,NA,0,0,1997,0
"355",50001,50001,0,0,NA,0,0,1997,0
"356",50002,50002,25000,6,25.51,49,20,1997,980
"357",50003,50003,25000,6,10.68,52,45,1997,2340
"358",50004,50004,13500,6,4.91,50,55,1997,2750
"359",50005,50005,45000,6,29.41,51,30,1997,1530
"360",50030,50030,25000,6,12.5,50,40,1997,2000
"361",50031,50031,NA,9,NA,48,40,1997,1920
"362",50032,50032,0,0,NA,0,0,1997,0
"363",50033,50033,0,0,NA,0,0,1997,0
"364",50034,50034,0,0,NA,0,0,1997,0
"365",50035,50035,0,0,NA,0,0,1997,0
"366",50170,50170,65000,6,18.57,50,70,1997,3500
"367",50171,50171,23000,6,13.14,50,35,1997,1750
"368",50172,50172,20000,6,10,50,40,1997,2000
"369",50174,50174,0,0,NA,0,0,1997,0
"370",50175,50175,0,0,NA,0,0,1997,0
"371",50176,50176,0,0,NA,0,0,1997,0
"372",51001,51001,30000,6,14.42,52,40,1997,2080
"373",51002,51002,2000,6,3.21,52,12,1997,624
"374",51030,51030,0,0,NA,0,0,1997,0
"375",51031,51031,0,0,NA,0,0,1997,0
"376",51032,51032,0,0,NA,0,0,1997,0
"377",51033,51033,0,0,NA,0,0,1997,0
"378",51034,51034,0,0,NA,0,0,1997,0
"379",51171,51171,25000,6,11.18,52,43,1997,2236
"380",53001,53001,1000,6,16.67,10,6,1997,60
"381",53002,53002,27000,6,14.61,44,42,1997,1848
"382",53003,53003,26000,6,8,50,65,1997,3250
"383",53004,53004,15000,6,7.21,52,40,1997,2080
"384",53005,53005,37000,6,11.86,52,60,1997,3120
"385",53006,53006,14000,6,8.16,49,35,1997,1715
"386",53007,53007,NA,6,NA,52,70,1997,3640
"387",53008,53008,26000,6,11.11,52,45,1997,2340
"388",53009,53009,11000,6,4.58,48,50,1997,2400
"389",53010,53010,17000,6,10.63,40,40,1997,1600
"390",53030,53030,18000,6,8.65,52,40,1997,2080
"391",53031,53031,9000,6,5.63,40,40,1997,1600
"392",53033,53033,25000,6,9.62,52,50,1997,2600
"393",53034,53034,0,0,NA,0,0,1997,0
"394",53035,53035,0,0,NA,0,0,1997,0
"395",53036,53036,0,0,NA,0,0,1997,0
"396",53037,53037,0,0,NA,0,0,1997,0
"397",53038,53038,0,0,NA,0,0,1997,0
"398",53039,53039,0,0,NA,0,0,1997,0
"399",53040,53040,0,0,NA,0,0,1997,0
"400",53041,53041,0,0,NA,0,0,1997,0
"401",53042,53042,0,0,NA,0,0,1997,0
"402",53043,53043,0,0,NA,0,0,1997,0
"403",53170,53170,11000,6,5.39,51,40,1997,2040
"404",53173,53173,25000,6,12.02,52,40,1997,2080
"405",53181,53181,0,0,NA,0,0,1997,0
"406",53187,53187,25000,6,8.01,52,60,1997,3120
"407",53189,53189,0,0,NA,0,0,1997,0
"408",53190,53190,0,0,NA,0,0,1997,0
"409",53191,53191,13000,6,8.13,40,40,1997,1600
"410",53192,53192,0,0,NA,0,0,1997,0
"411",53194,53194,5000,6,10.42,12,40,1997,480
"412",53196,53196,0,0,NA,0,0,1997,0
"413",53198,53198,0,0,NA,0,0,1997,0
"414",53199,53199,0,0,NA,0,0,1997,0
"415",53200,53200,0,0,NA,0,0,1997,0
"416",53201,53201,NA,6,NA,51,60,1997,3060
"417",53202,53202,NA,9,NA,52,40,1997,2080
"418",53203,53203,0,0,NA,0,0,1997,0
"419",53204,53204,0,0,NA,0,0,1997,0
"420",53205,53205,0,0,NA,0,0,1997,0
"421",53206,53206,NA,9,NA,48,40,1997,1920
"422",53207,53207,0,0,NA,0,0,1997,0
"423",53208,53208,0,0,NA,0,0,1997,0
"424",53209,53209,0,0,NA,0,0,1997,0
"425",53210,53210,0,0,NA,0,0,1997,0
"426",53211,53211,0,0,NA,0,0,1997,0
"427",53212,53212,0,0,NA,0,0,1997,0
"428",53213,53213,0,0,NA,0,0,1997,0
"429",53214,53214,0,0,NA,0,0,1997,0
"430",53215,53215,0,0,NA,0,0,1997,0
"431",53216,53216,0,0,NA,0,0,1997,0
"432",53217,53217,0,0,NA,0,0,1997,0
"433",53218,53218,0,0,NA,0,0,1997,0
"434",56002,56002,0,0,NA,0,0,1997,0
"435",57001,57001,0,0,NA,0,0,1997,0
"436",57002,57002,0,0,NA,0,0,1997,0
"437",57003,57003,0,0,NA,0,0,1997,0
"438",57005,57005,0,0,NA,0,0,1997,0
"439",57030,57030,0,0,NA,0,0,1997,0
"440",57032,57032,0,0,NA,0,0,1997,0
"441",57033,57033,0,0,NA,0,0,1997,0
"442",57178,57178,0,0,NA,0,0,1997,0
"443",60002,60002,17000,6,8.67,49,40,1997,1960
"444",60022,60022,50000,6,18.18,50,55,1997,2750
"445",60030,60030,NA,9,NA,20,20,1997,400
"446",60031,60031,30000,6,11.76,51,50,1997,2550
"447",60032,60032,0,0,NA,0,0,1997,0
