ER30001,ER30002,PCGID_97,PCGPN_97,OCGID_97,OCGPN_97,PCGID_02,PCGPN_02,OCGID_02,OCGPN_02,PCGID_07,PCGPN_07,OCGID_07,OCGPN_07
4,37,4,179,,,,,,,,,,
4,38,4,7,,,,,,,,,,
4,39,4,173,4,3,4,173,4,3,4,173,4,3
4,41,4,31,,,4,31,,,4,31,4,195
4,42,4,31,,,4,31,,,4,31,4,195
4,43,4,36,4,190,,,,,,,,
4,180,4,179,,,,,,,,,,
4,187,4,5,4,186,4,5,4,186,,,,
5,32,5,170,5,3,5,170,5,3,,,,
5,33,5,172,5,5,,,,,5,5,5,177
6,34,6,172,6,6,,,,,,,,
7,39,7,171,7,5,7,171,,,,,,
7,40,7,171,7,5,7,171,,,,,,
7,41,7,30,7,4,,,,,7,30,,
7,44,7,30,7,4,,,,,7,30,,
7,45,7,175,7,31,7,175,7,31,7,175,7,31
7,46,7,34,,,,,,,7,177,,
7,47,7,34,,,,,,,7,177,,
10,33,10,177,,,10,177,,,10,177,,
10,34,10,6,10,176,10,6,,,10,6,,
10,35,10,6,10,176,10,6,,,10,6,,
14,30,14,172,14,4,14,172,14,4,,,,
14,31,14,172,14,4,14,172,14,4,,,,
14,32,14,3,14,173,14,3,14,173,14,3,14,173
14,33,14,3,14,173,14,3,14,173,14,3,14,173
16,33,16,4,16,172,,,,,,,,
18,38,18,170,,,18,170,18,193,,,,
18,39,18,31,18,183,18,31,18,183,18,31,18,183
18,40,18,31,18,183,18,31,18,183,18,31,18,183
18,41,18,185,18,35,18,185,18,35,18,185,18,204
18,187,18,173,18,21,,,,,,,,
18,189,18,173,18,21,18,173,18,21,18,173,18,21
18,191,18,190,18,3,,,,,,,,
18,192,18,190,18,3,,,,,,,,
22,30,22,3,22,174,22,3,22,2,,,,
22,31,22,173,,,22,173,,,22,173,,
22,176,22,175,22,4,22,175,22,4,22,175,,
39,31,39,174,39,30,39,174,39,30,39,174,39,30
40,35,40,171,,,40,178,,,,,,
40,38,40,30,40,173,,,,,40,182,40,172
40,39,40,30,40,173,,,,,40,173,40,179
45,32,45,179,45,178,45,179,45,178,45,179,45,178
45,33,45,181,45,180,,,,,,,,
45,34,45,30,,,45,30,45,184,,,,
47,34,47,4,47,170,47,4,47,170,,,,
47,35,47,31,47,174,47,31,47,174,,,,
47,36,47,4,47,170,47,4,47,170,47,4,47,170
47,37,47,173,47,5,47,173,47,177,,,,
47,38,47,173,47,5,47,173,47,177,,,,
47,39,47,31,47,174,47,31,47,174,47,31,47,174
47,40,47,32,47,176,47,32,47,176,47,32,47,176
50,32,50,171,50,3,50,171,50,3,,,,
50,33,50,171,50,3,50,171,50,3,50,171,50,3
50,34,50,5,50,170,50,5,50,170,50,5,50,170
50,35,50,5,50,170,50,5,50,170,50,5,50,170
51,31,51,30,51,171,51,30,51,171,,,,
51,32,51,30,51,171,51,30,51,171,51,30,51,171
53,35,53,6,,,53,6,,,,,,
53,36,53,4,53,173,53,4,53,173,,,,
53,38,53,194,53,9,53,9,,,,,,
53,40,53,194,53,9,53,9,,,,,,
53,41,53,170,53,3,,,,,53,217,53,216
53,42,53,191,53,10,53,10,,,53,191,53,218
53,205,53,202,53,30,53,202,53,30,53,202,53,967
60,36,60,32,60,181,60,32,60,181,60,32,60,181
60,37,60,32,60,181,60,32,60,181,60,32,60,181
61,32,61,5,61,171,61,5,61,171,,,,
61,34,61,5,61,171,61,5,61,171,61,5,61,171
61,35,61,172,61,3,61,172,61,3,61,172,61,3
68,30,68,175,68,3,68,175,68,3,68,175,68,3
79,32,79,3,79,171,79,3,79,171,,,,
84,33,84,1,,,84,1,84,172,,,,
84,34,84,177,84,178,84,177,,,,,,
84,35,84,177,84,178,84,177,,,84,177,,
88,35,88,174,,,88,174,88,5,,,,
88,36,88,174,,,88,174,88,5,,,,
89,34,89,3,89,170,89,3,89,170,,,,
89,35,89,31,89,179,89,31,89,179,89,31,89,179
90,30,90,171,90,4,90,171,90,4,90,171,90,4
90,31,90,3,90,172,90,3,90,172,90,3,90,172
90,32,90,3,90,172,90,3,90,172,90,3,90,172
91,31,91,3,91,170,91,3,91,170,91,3,91,170
91,32,91,3,91,170,91,3,91,170,91,3,91,170
96,31,96,3,,,96,3,96,170,,,,
96,32,96,3,,,96,3,96,170,96,3,96,170
96,33,96,5,96,173,96,5,96,173,,,,
