"","KID","YEAR","ArrestedOnceMore","AgeOnlyArrest","AgeFirstArrest","OffenseFirstOnlyArrest","AgeLastArrest","OffenseLastArrest","JailOnceMore","AgeOnlyJail","AgeFirstJail","OffenseFirstOnlyJail","AgeLastJail","OffenseLastJail","earn"
"1",4037,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",4037,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999999
"3",4037,2009,3,0,18,3,20,3,1,0,0,0,0,0,NA
"4",4037,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",4037,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",4037,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",4037,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",4037,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000
"9",4037,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",4037,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",4037,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4037,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",4038,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",4038,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999999
"15",4038,2009,3,0,20,4,21,4,1,0,0,0,0,0,9999999
"16",4038,2011,3,0,21,4,23,4,3,0,21,4,23,4,NA
"17",4038,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",4038,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",4038,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",4038,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"21",4038,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"22",4038,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",4038,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",4038,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",4039,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",4039,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"27",4039,2009,1,0,0,0,0,0,0,0,0,0,0,0,0
"28",4039,2011,1,0,0,0,0,0,0,0,0,0,0,0,0
"29",4039,2013,1,0,0,0,0,0,0,0,0,0,0,0,0
"30",4039,2015,1,0,0,0,0,0,0,0,0,0,0,0,NA
"31",4039,2017,1,0,0,0,0,0,0,0,0,0,0,0,NA
"32",4039,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500
"33",4039,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"34",4039,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"35",4039,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"36",4039,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000
"37",4041,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",4041,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",4041,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
