"","KID","NumArrest","arrest","arrest_violent","arrest_severe","jail","jail_violent","jail_severe"
"1",4037,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",4038,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"3",4039,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4",4041,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",4180,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6",5032,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7",5033,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",6034,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",7039,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10",7040,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"11",7041,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12",7042,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13",7044,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"14",7045,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"15",7046,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"16",7047,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"17",7048,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18",7049,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"19",7206,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20",10034,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21",10035,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"22",14030,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"23",14031,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"24",14032,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"25",14033,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"26",16034,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"27",16174,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"28",18038,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29",18039,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"30",18040,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"31",18041,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"32",18042,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"33",18045,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"34",18189,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"35",22030,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"36",22031,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"37",22176,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"38",39031,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"39",40035,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"40",40037,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"41",40038,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
