"","KID","age","earn","def_flag"
"1",4037,22,9598.75128332714,"2000"
"2",4038,23,0,"2000"
"3",4039,26,10294.4820453142,"2000"
"4",4041,22,1859.94333115542,"2000"
"5",4180,26,0,"2000"
"6",5032,26,0,"2000"
"7",5033,22,4632.5169203914,"2000"
"8",6034,26,0,"2000"
"9",7039,25,0,"2000"
"10",7040,27,0,"2000"
"11",7041,24,0,"2000"
"12",7044,24,1853.00676815656,"2000"
"13",7045,24,0,"2000"
"14",7046,23,0,"2000"
"15",7047,21,1029.44820453142,"2000"
"16",10034,26,12868.1025566428,"2000"
"17",10035,24,0,"2000"
"18",14030,25,0,"2000"
"19",14031,26,5079.78832975591,"2000"
"20",14032,24,10294.4820453142,"2000"
"21",14033,22,12868.1025566428,"2000"
"22",18038,20,4821.2530014321,"2000"
"23",18039,22,3860.43076699283,"2000"
"24",18040,22,23162.584601957,"2000"
"25",18041,19,2645.72308841454,"2000"
"26",22030,26,8995.45850060942,"2000"
"27",22031,27,20588.9640906284,"2000"
"28",22176,25,16985.8953747685,"2000"
"29",39031,21,3808.95835676626,"2000"
"30",40035,26,0,"2000"
"31",40038,24,12868.1025566428,"2000"
"32",40039,17,1125.03266773429,"2000"
"33",45032,21,13500.3920128115,"2000"
"34",45033,23,7494.38292898875,"2000"
"35",45034,21,15441.7230679713,"2000"
"36",47034,23,0,"2000"
"37",47035,26,15874.3385304872,"2000"
"38",47036,26,18015.3435792999,"2000"
"39",47037,26,30883.4461359427,"2000"
"40",47038,24,1801.53435792999,"2000"
"41",47039,20,1029.44820453142,"2000"
"42",47040,19,5147.24102265711,"2000"
"43",50032,25,0,"2000"
"44",50033,25,11323.9302498456,"2000"
"45",50034,23,7206.13743171996,"2000"
"46",51031,26,17461.7723835359,"2000"
"47",53035,26,0,"2000"
"48",53036,26,0,"2000"
"49",53038,22,0,"2000"
"50",53040,25,9685.04870823162,"2000"
"51",53041,24,36030.6871585998,"2000"
"52",53042,23,28309.8256246141,"2000"
"53",53205,19,8750.30973851709,"2000"
"54",60036,25,15441.7230679713,"2000"
"55",60037,20,0,"2000"
"56",61032,26,16403.4831481701,"2000"
"57",61034,23,38604.3076699283,"2000"
"58",61035,20,617.668922718853,"2000"
"59",68030,20,1682.84365803001,"2000"
"60",79032,26,0,"2000"
"61",84033,26,0,"2000"
"62",84035,22,0,"2000"
"63",88035,25,0,"2000"
"64",88036,20,15997.9188055452,"2000"
"65",89034,25,0,"2000"
"66",89035,17,237.674347806186,"2000"
"67",90030,25,16471.1712725028,"2000"
"68",90031,24,11323.9302498456,"2000"
"69",90032,21,1647.11712725028,"2000"
"70",96032,25,5147.24102265711,"2000"
"71",99032,23,16471.1712725028,"2000"
"72",99033,19,634.973541219489,"2000"
"73",105035,23,0,"2000"
"74",106031,26,29339.2738291455,"2000"
"75",106032,25,12353.3784543771,"2000"
"76",114033,24,0,"2000"
"77",114034,20,0,"2000"
"78",117031,23,15441.7230679713,"2000"
"79",117032,21,11838.6543521114,"2000"
"80",121030,25,0,"2000"
"81",121032,25,0,"2000"
"82",121033,26,9524.60311829233,"2000"
"83",121037,23,1441.22748634399,"2000"
"84",122034,26,0,"2000"
"85",122036,22,21165.7847073163,"2000"
"86",122174,26,18520.0616189018,"2000"
"87",126030,25,0,"2000"
"88",128030,26,37060.1353631312,"2000"
"89",128031,22,1852.00616189018,"2000"
"90",129041,18,5625.16333867147,"2000"
"91",129197,25,0,"2000"
"92",138032,24,0,"2000"
"93",138033,23,4478.09968971169,"2000"
"94",145030,27,23162.584601957,"2000"
"95",145031,24,10294.4820453142,"2000"
"96",151037,26,18520.0616189018,"2000"
"97",151038,21,25736.2051132856,"2000"
"98",165032,24,16833.4820267101,"2000"
"99",166033,26,33750.9800320288,"2000"
"100",172036,20,2573.62051132856,"2000"
"101",173035,26,0,"2000"
"102",173036,25,0,"2000"
"103",173037,23,16918.8037737222,"2000"
"104",173038,27,18015.3435792999,"2000"
"105",173039,25,3088.34461359427,"2000"
"106",173040,20,12868.1025566428,"2000"
"107",174033,25,6234.62297285559,"2000"
"108",174036,27,7720.86153398567,"2000"
"109",174037,19,3199.58376110905,"2000"
"110",178033,25,0,"2000"
"111",178034,22,5625.16333867147,"2000"
"112",180030,24,0,"2000"
"113",180032,26,0,"2000"
"114",181031,26,0,"2000"
"115",181032,27,41177.9281812569,"2000"
"116",190033,26,6878.88002987779,"2000"
"117",195030,21,0,"2000"
"118",195031,22,21165.7847073163,"2000"
"119",200034,26,0,"2000"
"120",200035,27,28824.5497268798,"2000"
"121",203031,27,5147.24102265711,"2000"
"122",203033,21,463.25169203914,"2000"
"123",209030,26,0,"2000"
"124",217032,26,0,"2000"
"125",220030,26,2573.62051132856,"2000"
"126",221032,23,28309.8256246141,"2000"
"127",228031,25,0,"2000"
"128",228032,26,0,"2000"
"129",236032,20,0,"2000"
"130",245034,26,0,"2000"
"131",246031,26,0,"2000"
"132",250031,19,0,"2000"
"133",250032,23,35001.2389540684,"2000"
"134",257037,27,21618.4122951599,"2000"
"135",257039,18,843.774500800721,"2000"
"136",257040,22,27795.1015223484,"2000"
"137",277033,26,0,"2000"
"138",280032,25,31.173114864278,"2000"
"139",280033,25,1801.53435792999,"2000"
"140",284030,24,31912.8943404741,"2000"
"141",284031,22,0,"2000"
"142",297048,26,0,"2000"
"143",302036,26,0,"2000"
"144",302037,27,19559.515886097,"2000"
"145",308037,26,0,"2000"
"146",311032,25,20588.9640906284,"2000"
"147",311033,21,12868.1025566428,"2000"
"148",315030,23,11222.3213511401,"2000"
"149",319031,23,0,"2000"
"150",319032,23,8697.29315598372,"2000"
"151",321032,26,0,"2000"
"152",321176,24,0,"2000"
"153",321177,26,0,"2000"
"154",323032,24,0,"2000"
"155",323033,21,0,"2000"
"156",323034,21,2038.30744497222,"2000"
"157",327033,21,7103.19261126681,"2000"
"158",343032,24,0,"2000"
"159",343033,20,0,"2000"
"160",344031,25,18703.8689185668,"2000"
"161",344032,26,0,"2000"
"162",350030,25,10397.4268657674,"2000"
"163",350031,21,514.724102265711,"2000"
"164",351037,25,0,"2000"
"165",351038,27,607.374440673539,"2000"
"166",351039,21,15874.3385304872,"2000"
"167",354031,22,28824.5497268798,"2000"
"168",355031,26,15586.557432139,"2000"
"169",355032,27,18015.3435792999,"2000"
"170",355033,25,23677.3087042227,"2000"
"171",356031,22,14309.3300429868,"2000"
"172",356032,19,3704.01232378035,"2000"
"173",361176,26,0,"2000"
"174",368032,24,12353.3784543771,"2000"
"175",374030,22,17500.6194770342,"2000"
"176",377030,22,16471.1712725028,"2000"
"177",377031,20,1029.44820453142,"2000"
"178",391031,26,0,"2000"
"179",409033,20,514.724102265711,"2000"
"180",414038,25,0,"2000"
"181",419034,26,8029.69599534509,"2000"
"182",419035,24,13382.8266589085,"2000"
"183",419036,25,20588.9640906284,"2000"
"184",419037,22,0,"2000"
"185",428030,29,0,"2000"
"186",428032,26,18015.3435792999,"2000"
"187",432032,24,15441.7230679713,"2000"
"188",433031,25,0,"2000"
"189",433034,23,0,"2000"
"190",433038,21,1544.17230679713,"2000"
"191",433040,20,0,"2000"
"192",452037,25,38604.3076699283,"2000"
"193",452038,22,96.7681312259537,"2000"
"194",455032,25,0,"2000"
"195",455033,26,37040.1232378035,"2000"
"196",459031,24,23162.584601957,"2000"
"197",465033,25,20588.9640906284,"2000"
"198",465034,22,16471.1712725028,"2000"
"199",473035,25,0,"2000"
"200",473036,21,7206.13743171996,"2000"
"201",478038,25,0,"2000"
"202",478039,27,1544.17230679713,"2000"
"203",478040,19,6176.68922718853,"2000"
"204",479030,23,8431.18079511235,"2000"
"205",479031,20,10294.4820453142,"2000"
"206",486030,24,4632.5169203914,"2000"
"207",486031,20,0,"2000"
"208",487035,25,0,"2000"
"209",490032,21,16985.8953747685,"2000"
"210",495034,24,12868.1025566428,"2000"
"211",496032,20,11838.6543521114,"2000"
"212",496183,25,4987.69837828447,"2000"
"213",496184,26,0,"2000"
"214",508031,26,0,"2000"
"215",508032,22,0,"2000"
"216",510031,20,514.724102265711,"2000"
"217",517030,26,16661.1765769817,"2000"
"218",517031,26,42722.100488054,"2000"
"219",517032,24,23162.584601957,"2000"
"220",517033,23,8235.58563625138,"2000"
"221",517034,21,2573.62051132856,"2000"
"222",534032,21,0,"2000"
"223",544032,24,16471.1712725028,"2000"
"224",548035,25,0,"2000"
"225",548036,26,0,"2000"
"226",548039,20,0,"2000"
"227",548040,20,6176.68922718853,"2000"
"228",556037,19,51472.4102265711,"2000"
"229",557176,25,19559.515886097,"2000"
"230",557177,21,5291.44617682907,"2000"
"231",563043,26,23677.3087042227,"2000"
"232",563044,23,3862.75570908522,"2000"
"233",563046,16,17688.9816327018,"2000"
"234",563047,17,3174.86770609744,"2000"
"235",565032,26,30883.4461359427,"2000"
"236",565034,19,2645.72308841454,"2000"
"237",569031,25,0,"2000"
"238",569032,26,18520.0616189018,"2000"
"239",570035,24,9598.75128332714,"2000"
"240",570036,23,8853.25455897023,"2000"
"241",573033,25,0,"2000"
"242",573035,27,8235.58563625138,"2000"
"243",577032,25,1099.96540654182,"2000"
"244",581172,25,29250.8493610917,"2000"
"245",581173,27,12353.3784543771,"2000"
"246",582032,26,0,"2000"
"247",582033,26,21165.7847073163,"2000"
"248",582034,24,16471.1712725028,"2000"
"249",593030,24,34743.8769029355,"2000"
