"","KID","chcare","Arrange","Price","year"
"1",4037,0,NA,NA,1997
"2",4038,0,"Relative",0,1997
"3",4039,0,"Relative",0,1997
"4",4041,0,NA,NA,1997
"5",4042,0,NA,NA,1997
"6",4043,0,NA,NA,1997
"7",4180,0,NA,NA,1997
"8",4187,0,NA,NA,1997
"9",5032,0,NA,NA,1997
"10",5033,40,NA,NA,1997
"11",6034,0,NA,NA,1997
"12",7039,0,NA,NA,1997
"13",7040,0,NA,NA,1997
"14",7041,0,NA,NA,1997
"15",7044,0,NA,NA,1997
"16",7045,0,NA,NA,1997
"17",7046,0,NA,NA,1997
"18",7047,0,NA,NA,1997
"19",10033,0,"Relative",0,1997
"20",10034,0,NA,NA,1997
"21",10035,0,NA,NA,1997
"22",14030,0,NA,NA,1997
"23",14031,0,NA,NA,1997
"24",14032,0,NA,NA,1997
"25",14033,36,NA,NA,1997
"26",16033,0,NA,NA,1997
"27",18038,0,NA,0,1997
"28",18039,0,NA,NA,1997
"29",18040,0,NA,NA,1997
"30",18041,0,NA,NA,1997
"31",18187,0,NA,NA,1997
"32",18189,0,NA,NA,1997
"33",18191,46.5,"Before/After School Prog.",5.8125,1997
"34",18192,46.5,"Before/After School Prog.",5.8125,1997
"35",22030,0,NA,NA,1997
"36",22031,0,NA,NA,1997
"37",22176,0,NA,NA,1997
"38",39031,0,NA,NA,1997
"39",40035,0,"Relative",0,1997
"40",40038,8.75,NA,NA,1997
"41",40039,0,NA,NA,1997
"42",45032,0,NA,NA,1997
"43",45033,0,NA,NA,1997
"44",45034,65,NA,NA,1997
"45",47034,0,NA,NA,1997
"46",47035,0,"Relative",NA,1997
"47",47036,0,NA,NA,1997
"48",47037,0,NA,NA,1997
"49",47038,20,NA,NA,1997
"50",47039,0,NA,NA,1997
"51",47040,0,NA,NA,1997
"52",50032,30,"Before/After School Prog.",2.72727272727273,1997
"53",50033,30,"Before/After School Prog.",2.72727272727273,1997
"54",50034,128,NA,NA,1997
"55",50035,128,NA,NA,1997
"56",51031,0,NA,NA,1997
"57",51032,0,NA,NA,1997
"58",53035,0,NA,NA,1997
"59",53036,0,NA,NA,1997
"60",53038,0,NA,NA,1997
"61",53040,0,NA,NA,1997
"62",53041,0,NA,NA,1997
"63",53042,0,NA,NA,1997
"64",53205,0,NA,NA,1997
"65",60036,0,NA,NA,1997
"66",60037,70,NA,NA,1997
"67",61032,0,NA,NA,1997
"68",61034,0,NA,NA,1997
"69",61035,0,NA,NA,1997
"70",68030,92.5,NA,NA,1997
"71",79032,0,NA,NA,1997
"72",84033,0,NA,NA,1997
"73",84034,0,NA,NA,1997
"74",84035,0,NA,NA,1997
"75",88035,0,NA,NA,1997
"76",88036,0,NA,NA,1997
"77",89034,200,"Before/After School Prog.",57.1428571428571,1997
"78",89035,0,NA,NA,1997
"79",90030,75,"Care Center",1.875,1997
"80",90031,70,NA,NA,1997
"81",90032,60,NA,NA,1997
"82",91031,85,NA,NA,1997
"83",91032,150,NA,NA,1997
"84",96031,0,NA,NA,1997
"85",96032,0,NA,NA,1997
"86",96033,0,NA,NA,1997
"87",99032,0,NA,NA,1997
"88",99033,0,NA,NA,1997
"89",105035,0,NA,NA,1997
