ER30001,ER30002,ER33401,ER33402,ER33403,CHREL97,Q1H14,Q1H18,Q1H19,Q1H21,Q1H21A,Q1H22,Q1H22A,ER33601,ER33602,ER33603,CHREL,Q21C12,Q21C13,Q21C15A,Q21C15B,Q21H23A,Q21H23A1,Q21H23B,Q21H23B1,Q21H23C,Q21H23C1,Q21H23D,Q21H23D1,Q21H23H,Q21H23H1,ER33901,ER33902,ER33903,PCHREL07,Q31C12,Q31C13,Q31C15A,Q31C15B
4,37,4773,3,30,2,0,0,0,0,0,0,0,5964,4,30,,,,,,,,,,,,,,,,0,0,0,,,,,
4,38,5491,2,30,2,4,5,15,0,0,0,0,7091,2,30,,,,,,,,,,,,,,,,0,0,0,,,,,
4,39,3854,4,60,2,4,5,5,0,0,0,0,96,3,60,4,0,0,0,0,1,300,5,0,1,50,1,1000,1,5200,148,3,60,3,0,0,0,0
4,41,4246,2,30,2,0,0,0,0,0,0,0,285,3,30,4,0,0,0,0,1,700,5,0,1,200,1,500,1,1600,196,3,30,3,0,0,0,0
4,42,4246,3,30,2,0,0,0,0,0,0,0,285,4,30,4,0,0,0,0,1,500,5,0,1,300,1,500,1,1600,196,4,30,3,0,0,0,0
4,43,5490,3,30,2,0,0,0,0,0,0,0,7308,3,33,,,,,,,,,,,,,,,,0,0,0,,,,,
4,180,4773,2,30,2,0,0,0,0,0,0,0,5964,3,30,,,,,,,,,,,,,,,,1130,1,10,,,,,
4,187,3853,3,30,2,0,0,0,0,0,0,0,6872,3,30,4,0,0,0,0,1,300,1,1000,1,50,1,600,1,99998,0,0,0,,,,,
5,32,368,4,30,2,0,0,0,0,0,0,0,1448,4,30,4,0,0,0,0,1,400,5,0,1,300,1,100,1,2600,8069,2,20,,,,,
5,33,3633,5,30,2,0,0,0,0,0,0,0,444,3,60,,,,,,,,,,,,,,,,7756,3,30,3,0,0,0,0
6,34,6048,5,30,2,0,0,0,0,0,0,0,6438,3,30,,,,,,,,,,,,,,,,5967,1,10,,,,,
7,39,1111,5,30,2,0,0,0,0,0,0,0,2945,3,30,4,0,0,0,0,1,100,5,0,1,20,1,50,1,2600,1154,3,30,,,,,
7,40,1111,6,30,2,0,0,0,0,0,0,0,2945,4,30,4,0,0,0,0,1,200,5,0,1,50,1,100,1,1300,482,2,30,,,,,
7,41,1114,4,60,2,0,0,0,0,0,0,0,3325,3,30,,,,,,,,,,,,,,,,1411,2,30,3,0,0,0,0
7,44,1114,6,60,2,0,0,0,0,0,0,0,3325,5,30,,,,,,,,,,,,,,,,1411,4,30,3,0,0,0,0
7,45,1910,5,60,2,0,0,0,0,0,0,0,6030,3,30,4,0,168,0,0,1,50,5,0,1,40,1,100,1,50,904,3,30,3,2,4,0,0
7,46,5107,2,30,2,0,0,0,0,0,0,0,3075,2,30,,,,,,,,,,,,,,,,2208,2,30,3,4,45,0,0
7,47,5107,4,30,2,0,0,0,0,0,0,0,3075,3,30,,,,,,,,,,,,,,,,2208,3,30,3,4,45,0,0
10,33,6041,2,30,2,4,4,12,0,0,0,0,5332,2,30,4,0,0,0,0,1,350,1,450,1,100,1,300,1,350,6733,2,30,3,0,0,0,0
10,34,1336,4,30,2,0,0,0,0,0,0,0,257,3,30,4,0,0,0,0,1,99999,1,900,1,50,1,9998,1,99998,6742,3,30,3,0,0,0,0
10,35,1336,5,30,2,0,0,0,0,0,0,0,257,4,30,4,0,0,0,0,1,350,1,600,1,100,1,250,1,400,6742,4,30,3,0,0,0,0
14,30,1179,3,30,2,0,0,0,0,0,0,0,260,3,30,4,0,0,0,0,1,700,1,700,1,100,1,600,1,1800,3621,3,30,,,,,
14,31,1179,4,30,2,0,0,0,0,0,0,0,260,4,30,4,0,0,0,0,1,700,1,700,1,150,1,500,1,1200,4149,2,22,,,,,
14,32,681,3,30,2,0,0,0,0,0,0,0,190,3,30,4,0,0,0,0,1,200,1,1000,1,20,1,300,1,100,2668,3,30,3,0,0,0,0
14,33,681,4,30,2,0,0,0,0,0,0,0,190,4,30,4,0,0,0,0,1,200,1,1000,1,20,1,200,1,100,2668,4,30,3,0,0,0,0
16,33,1721,3,30,2,0,0,0,0,0,0,0,770,4,30,,,,,,,,,,,,,,,,0,0,0,,,,,
18,38,690,3,30,2,9,5,10,0,0,0,0,2801,3,33,4,0,0,0,0,1,500,1,1500,1,200,1,1200,1,600,1047,1,10,,,,,
18,39,687,3,30,2,0,0,0,0,0,0,0,2802,3,30,4,0,0,0,0,1,400,1,250,1,30,1,500,1,1950,940,3,30,3,0,0,0,0
18,40,687,4,30,2,0,0,0,0,0,0,0,2802,4,30,4,0,0,0,0,1,400,1,250,1,30,1,300,1,1960,940,4,30,3,0,0,0,0
18,41,4261,4,30,2,0,0,0,0,0,0,0,3313,4,30,4,0,0,0,0,1,1000,1,400,1,50,1,500,1,1500,7955,4,35,3,0,0,0,0
18,187,1487,4,38,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,,
18,189,1487,6,38,2,0,0,0,0,0,0,0,3310,3,30,4,0,0,0,0,1,1000,5,0,1,100,1,1000,1,1800,293,3,30,3,0,0,0,0
18,191,5256,3,83,2,8,5,8,46.5,3,1,1,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,,
18,192,5256,4,83,2,8,5,8,46.5,3,1,1,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,,
22,30,3651,3,30,2,0,0,0,0,0,0,0,6375,3,30,4,0,10,0,0,1,800,1,200,1,75,1,1000,1,1500,2585,2,30,,,,,
22,31,3649,2,30,2,0,0,0,0,0,0,0,6376,2,30,4,0,15,0,0,1,1000,5,0,1,75,1,1500,1,1000,2831,2,30,3,0,0,0,0
22,176,5098,3,30,2,0,0,0,0,0,0,0,6769,3,30,4,0,0,0,0,1,600,1,200,1,50,1,250,1,1500,5288,2,30,3,0,0,0,0
39,31,1293,3,30,2,0,0,0,0,0,0,0,2120,3,30,4,0,0,0,0,1,200,1,200,1,50,1,200,1,1200,1214,3,30,3,0,0,0,0
40,35,3434,3,30,2,2,6,120,0,0,0,0,5975,2,60,4,0,0,0,0,1,600,1,600,1,150,1,400,1,2400,3462,1,10,,,,,
40,38,5300,4,33,2,0,0,0,0,0,0,0,3790,4,30,,,,,,,,,,,,,,,,2199,3,30,3,4,5,0,0
40,39,5300,5,30,2,0,0,0,0,0,0,0,3790,5,30,,,,,,,,,,,,,,,,732,3,30,3,0,0,0,0
45,32,150,3,60,2,0,0,0,0,0,0,0,1449,3,60,4,2,10,1,5,1,400,1,250,1,100,1,400,1,3600,751,3,30,3,0,0,0,0
45,33,4731,3,97,2,0,0,0,0,0,0,0,1710,3,97,,,,,,,,,,,,,,,,0,0,0,,,,,
45,34,151,2,30,2,0,0,0,0,0,0,0,1709,3,33,4,0,109,36,3,1,500,5,0,1,80,1,300,1,800,5584,3,30,,,,,
47,34,367,3,30,2,0,0,0,0,0,0,0,323,3,30,4,0,0,0,0,1,1200,1,300,1,500,1,500,1,1200,2554,2,20,,,,,
47,35,4601,3,30,2,4,9,999,0,0,0,0,4285,3,30,4,0,0,0,0,1,500,1,300,1,50,1,500,1,50,3357,3,30,,,,,
47,36,367,4,30,2,0,0,0,0,0,0,0,323,4,30,4,0,0,0,0,1,1200,1,300,1,500,1,400,1,1200,1528,3,30,3,0,0,0,0
47,37,2732,3,30,2,0,0,0,0,0,0,0,5744,3,35,4,0,7,0,0,1,600,1,1000,1,150,1,600,1,1300,0,0,0,,,,,
47,38,2732,4,30,2,0,0,0,0,0,0,0,5744,4,35,4,0,5,0,0,1,600,1,1000,1,150,1,400,1,2080,0,0,0,,,,,
47,39,4601,4,30,2,0,0,0,0,0,0,0,4285,4,30,4,0,4,0,0,1,500,1,300,5,0,5,0,1,600,3357,4,30,3,4,6,0,0
47,40,5905,3,30,2,0,0,0,0,0,0,0,2576,3,30,4,0,4,0,0,1,150,5,0,1,30,1,300,1,75,2180,3,30,3,0,0,0,0
50,32,1273,3,30,2,8,5,11,130,5,1,1,972,3,30,4,0,0,0,0,1,200,1,50,1,50,1,300,1,600,181,3,30,,,,,
50,33,1273,4,30,2,8,5,11,130,5,1,1,972,4,30,4,0,0,0,0,1,200,1,50,1,50,1,200,1,500,181,4,30,3,0,0,0,0
50,34,475,3,30,2,0,0,0,0,0,0,0,3800,3,30,4,0,20,70,3,1,150,1,200,1,50,1,200,1,500,514,3,30,3,0,0,0,0
50,35,475,4,30,2,0,0,0,0,0,0,0,3800,4,30,4,0,20,70,3,1,150,1,200,1,50,1,250,1,500,514,4,30,3,0,0,0,0
51,31,228,3,30,2,0,0,0,0,0,0,0,4716,3,30,4,0,0,0,0,1,135,1,500,1,100,1,300,1,1000,1546,51,30,,,,,
51,32,228,4,30,2,0,0,0,0,0,0,0,4716,4,30,4,0,0,0,0,1,135,1,500,1,50,1,300,1,1000,1546,3,30,3,0,0,0,0
53,35,2696,2,30,2,0,0,0,0,0,0,0,1096,3,33,4,0,0,0,0,1,400,5,0,1,50,1,100,1,130,2241,3,33,,,,,
53,36,3378,4,30,2,0,0,0,0,0,0,0,466,3,30,4,0,0,0,0,1,50,5,0,1,150,1,200,1,1200,2433,3,30,,,,,
53,38,5033,3,30,2,0,0,0,0,0,0,0,1878,3,30,4,0,0,0,0,1,500,5,0,1,40,1,120,1,1000,3802,2,70,,,,,
53,40,5033,4,30,2,0,0,0,0,0,0,0,1878,4,30,4,0,0,0,0,1,200,5,0,1,40,1,120,1,1000,6218,3,30,,,,,
53,41,3530,5,30,2,0,0,0,0,0,0,0,5663,4,33,4,0,0,0,0,1,300,1,200,1,200,1,300,1,500,3656,3,60,3,0,0,0,0
53,42,5034,4,30,2,0,0,0,0,0,0,0,1161,4,30,4,0,0,0,0,1,75,5,0,1,30,1,100,1,260,3677,3,35,3,0,0,0,0
53,205,4739,5,30,2,0,0,0,0,0,0,0,5478,3,30,4,0,0,0,0,1,100,5,0,1,80,1,100,1,1300,6574,3,30,3,0,0,0,0
60,36,457,3,30,2,0,0,0,0,0,0,0,704,3,30,4,0,0,0,0,1,600,1,700,1,60,1,200,1,1500,7981,3,30,3,0,0,0,0
60,37,457,4,30,2,0,0,0,0,0,0,0,704,4,30,4,0,0,0,0,1,500,1,300,1,60,1,300,1,500,7981,4,30,3,0,0,0,0
61,32,5104,3,30,2,0,0,0,0,0,0,0,2206,3,30,4,0,0,0,0,1,1000,1,300,1,100,1,700,1,1000,7031,3,30,,,,,
61,34,5104,5,30,2,0,0,0,0,0,0,0,2206,5,30,4,0,0,0,0,1,500,1,500,1,100,1,800,1,1000,7031,5,30,3,0,0,0,0
61,35,1460,3,30,2,0,0,0,0,0,0,0,1468,3,30,4,0,0,0,0,1,100,1,1300,1,25,1,350,1,1500,5098,3,30,3,0,0,0,0
68,30,2817,3,30,2,0,0,0,0,0,0,0,1189,3,30,4,0,10,100,5,1,600,5,0,1,100,1,300,1,1200,546,3,30,3,0,0,0,0
79,32,3189,4,30,2,0,0,0,0,0,0,0,6392,3,30,4,0,4,0,0,1,99999,1,400,1,50,1,400,1,1500,1548,51,30,,,,,
84,33,1359,2,30,2,0,0,0,0,0,0,0,262,3,30,4,0,0,0,0,1,1500,1,5000,1,200,1,500,1,3600,632,3,30,,,,,
84,34,1837,3,35,2,0,0,0,0,0,0,0,6941,2,30,4,0,0,0,0,1,400,1,100,1,25,1,125,8,0,7518,81,30,,,,,
84,35,1837,4,35,2,0,0,0,0,0,0,0,6941,3,30,4,0,0,0,0,1,450,1,99999,1,25,1,9999,8,0,7518,3,30,3,5,80,0,0
88,35,3876,3,30,2,0,0,0,0,0,0,0,6646,3,30,4,0,0,0,0,1,800,1,450,1,250,1,1000,1,2600,7536,1,10,,,,,
88,36,3876,4,30,2,0,0,0,0,0,0,0,6646,4,30,4,0,0,0,0,1,500,1,450,1,250,1,600,1,2600,7536,2,40,,,,,
89,34,3906,3,30,2,8,5,3.5,40,2,2,9,1730,3,30,4,0,0,0,0,1,500,1,200,1,150,1,800,1,500,4627,3,30,,,,,
89,35,5546,3,30,2,0,0,0,0,0,0,0,1469,3,30,4,2,15,0,0,1,400,1,300,1,20,1,300,1,500,3468,3,30,3,9,6,0,0
90,30,1174,3,30,2,7,5,40,75,3,2,9,1800,3,30,4,0,7,35,3,1,99999,1,99998,1,9998,1,9998,1,99998,4197,3,30,3,0,0,0,0
