"","KID","CaretypeBroad","Arrange97","Exp97Tot","Hours97Tot","Arrange","Hours97","Exp97"
"1",4037,"External",NA,0,0,NA,NA,NA
"2",4038,"External",NA,0,0,NA,NA,NA
"3",4039,"External",NA,0,0,NA,NA,NA
"4",4041,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"5",4042,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"6",4043,"External",NA,0,0,NA,NA,NA
"7",4180,"External",NA,0,0,NA,NA,NA
"8",4187,"External",NA,0,0,NA,NA,NA
"9",5032,"External",NA,0,0,NA,NA,NA
"10",5033,"External","Relative",40,11,3,11,40
"11",6034,"External",NA,0,0,NA,NA,NA
"12",7039,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"13",7040,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"14",7041,"External",NA,0,0,NA,NA,NA
"15",7044,"External",NA,0,0,NA,NA,NA
"16",7045,"External","Head Start",0,1,5,1,0
"17",7046,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"18",7047,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"19",10033,"External",NA,0,0,NA,NA,NA
"20",10034,"External",NA,0,0,NA,NA,NA
"21",10035,"External","Care Center",0,20,6,20,0
"22",14030,"External",NA,0,0,NA,NA,NA
"23",14031,"External",NA,0,0,NA,NA,NA
"24",14032,"External","Non Relative",NA,NA,4,NA,NA
"25",14033,"External","Non Relative",36,24,4,24,36
"26",16033,"External","Relative",0,40,1,40,0
"27",18038,"External",NA,0,0,NA,NA,NA
"28",18039,"External",NA,0,0,NA,NA,NA
"29",18040,"External",NA,0,0,NA,NA,NA
"30",18041,"External",NA,0,0,NA,NA,NA
"31",18187,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"32",18189,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"33",18191,"External",NA,0,0,NA,NA,NA
"34",18192,"External",NA,0,0,NA,NA,NA
"35",22030,"External",NA,0,0,NA,NA,NA
"36",22031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"37",22176,"External",NA,0,0,NA,NA,NA
"38",39031,"External",NA,0,0,NA,NA,NA
"39",40035,"External",NA,0,0,NA,NA,NA
"40",40038,"External","Relative",8.75,41,3,35,0
"41",40039,"External","Relative",0,40,1,40,0
"42",45032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"43",45033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"44",45034,"External","Non Relative",65,40,4,40,65
"45",47034,"External",NA,0,0,NA,NA,NA
"46",47035,"External","Relative",0,20,3,20,0
"47",47036,"External",NA,0,0,NA,NA,NA
"48",47037,"External",NA,0,0,NA,NA,NA
"49",47038,"External","Care Center",20,5,6,5,20
"50",47039,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"51",47040,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"52",50032,"External",NA,0,0,NA,NA,NA
"53",50033,"External",NA,0,0,NA,NA,NA
"54",50034,"External","Non Relative",128,45,2,45,128
"55",50035,"External","Non Relative",128,45,2,45,128
"56",51031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"57",51032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"58",53035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"59",53036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"60",53038,"External",NA,0,0,NA,NA,NA
"61",53040,"External",NA,0,0,NA,NA,NA
"62",53041,"External","Relative",0,40,3,40,0
"63",53042,"External",NA,0,0,NA,NA,NA
"64",53205,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"65",60036,"External",NA,0,0,NA,NA,NA
"66",60037,"External","Non Relative",70,20,4,20,70
"67",61032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"68",61034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"69",61035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"70",68030,"External","Care Center",92.5,40,6,40,92.5
"71",79032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"72",84033,"External",NA,0,0,NA,NA,NA
"73",84034,"External",NA,0,0,NA,NA,NA
"74",84035,"External","Head Start",0,12,5,12,0
"75",88035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"76",88036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"77",89034,"External",NA,0,0,NA,NA,NA
"78",89035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"79",90030,"External",NA,0,0,NA,NA,NA
"80",90031,"External","Care Center",70,45,6,45,70
"81",90032,"External","Non Relative",60,45,4,45,60
"82",91031,"External","Care Center",85,8.5,6,8.5,85
"83",91032,"External","Care Center",150,8,6,8,150
"84",96031,"External",NA,0,0,NA,NA,NA
"85",96032,"External",NA,0,0,NA,NA,NA
"86",96033,"External","Relative",0,4,3,4,0
"87",99032,"External",NA,0,0,NA,NA,NA
"88",99033,"External",NA,0,0,NA,NA,NA
"89",105035,"External",NA,0,0,NA,NA,NA
"90",106031,"External",NA,0,0,NA,NA,NA
"91",106032,"External","Care Center",60,40,6,40,60
"92",114033,"External",NA,0,0,NA,NA,NA
"93",114034,"External",NA,0,0,NA,NA,NA
"94",117031,"External","Non Relative",70.625,49,4,40,50
"95",117032,"External","Non Relative",50,40,4,40,50
"96",121030,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"97",121032,"External",NA,0,0,NA,NA,NA
"98",121033,"External",NA,0,0,NA,NA,NA
"99",121036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"100",121037,"External","Care Center",18.125,5,6,5,18.125
"101",122034,"External",NA,0,0,NA,NA,NA
"102",122036,"External","Care Center",25,7.5,6,7.5,25
"103",122037,"External","Relative",0,7,1,7,0
"104",122174,"External",NA,0,0,NA,NA,NA
