ER30001,ER30002,ER33601,ER33602,ER33603,CHREL,Q21H23A,Q21H23A1,Q21H23B,Q21H23B1,Q21H23C,Q21H23C1,Q21H23D,Q21H23D1,Q21H23H,Q21H23H1
4,39,96,3,60,4,1,300,5,0,1,50,1,1000,1,5200
4,41,285,3,30,4,1,700,5,0,1,200,1,500,1,1600
4,42,285,4,30,4,1,500,5,0,1,300,1,500,1,1600
4,187,6872,3,30,4,1,300,1,1000,1,50,1,600,1,99998
5,32,1448,4,30,4,1,400,5,0,1,300,1,100,1,2600
7,39,2945,3,30,4,1,100,5,0,1,20,1,50,1,2600
7,40,2945,4,30,4,1,200,5,0,1,50,1,100,1,1300
7,45,6030,3,30,4,1,50,5,0,1,40,1,100,1,50
10,33,5332,2,30,4,1,350,1,450,1,100,1,300,1,350
10,34,257,3,30,4,1,99999,1,900,1,50,1,9998,1,99998
10,35,257,4,30,4,1,350,1,600,1,100,1,250,1,400
14,30,260,3,30,4,1,700,1,700,1,100,1,600,1,1800
14,31,260,4,30,4,1,700,1,700,1,150,1,500,1,1200
14,32,190,3,30,4,1,200,1,1000,1,20,1,300,1,100
14,33,190,4,30,4,1,200,1,1000,1,20,1,200,1,100
18,38,2801,3,33,4,1,500,1,1500,1,200,1,1200,1,600
18,39,2802,3,30,4,1,400,1,250,1,30,1,500,1,1950
18,40,2802,4,30,4,1,400,1,250,1,30,1,300,1,1960
18,41,3313,4,30,4,1,1000,1,400,1,50,1,500,1,1500
18,189,3310,3,30,4,1,1000,5,0,1,100,1,1000,1,1800
22,30,6375,3,30,4,1,800,1,200,1,75,1,1000,1,1500
22,31,6376,2,30,4,1,1000,5,0,1,75,1,1500,1,1000
22,176,6769,3,30,4,1,600,1,200,1,50,1,250,1,1500
39,31,2120,3,30,4,1,200,1,200,1,50,1,200,1,1200
40,35,5975,2,60,4,1,600,1,600,1,150,1,400,1,2400
45,32,1449,3,60,4,1,400,1,250,1,100,1,400,1,3600
45,34,1709,3,33,4,1,500,5,0,1,80,1,300,1,800
47,34,323,3,30,4,1,1200,1,300,1,500,1,500,1,1200
47,35,4285,3,30,4,1,500,1,300,1,50,1,500,1,50
47,36,323,4,30,4,1,1200,1,300,1,500,1,400,1,1200
47,37,5744,3,35,4,1,600,1,1000,1,150,1,600,1,1300
47,38,5744,4,35,4,1,600,1,1000,1,150,1,400,1,2080
47,39,4285,4,30,4,1,500,1,300,5,0,5,0,1,600
47,40,2576,3,30,4,1,150,5,0,1,30,1,300,1,75
50,32,972,3,30,4,1,200,1,50,1,50,1,300,1,600
50,33,972,4,30,4,1,200,1,50,1,50,1,200,1,500
50,34,3800,3,30,4,1,150,1,200,1,50,1,200,1,500
50,35,3800,4,30,4,1,150,1,200,1,50,1,250,1,500
51,31,4716,3,30,4,1,135,1,500,1,100,1,300,1,1000
51,32,4716,4,30,4,1,135,1,500,1,50,1,300,1,1000
53,35,1096,3,33,4,1,400,5,0,1,50,1,100,1,130
53,36,466,3,30,4,1,50,5,0,1,150,1,200,1,1200
53,38,1878,3,30,4,1,500,5,0,1,40,1,120,1,1000
53,40,1878,4,30,4,1,200,5,0,1,40,1,120,1,1000
53,41,5663,4,33,4,1,300,1,200,1,200,1,300,1,500
53,42,1161,4,30,4,1,75,5,0,1,30,1,100,1,260
53,205,5478,3,30,4,1,100,5,0,1,80,1,100,1,1300
60,36,704,3,30,4,1,600,1,700,1,60,1,200,1,1500
60,37,704,4,30,4,1,500,1,300,1,60,1,300,1,500
61,32,2206,3,30,4,1,1000,1,300,1,100,1,700,1,1000
61,34,2206,5,30,4,1,500,1,500,1,100,1,800,1,1000
61,35,1468,3,30,4,1,100,1,1300,1,25,1,350,1,1500
68,30,1189,3,30,4,1,600,5,0,1,100,1,300,1,1200
79,32,6392,3,30,4,1,99999,1,400,1,50,1,400,1,1500
84,33,262,3,30,4,1,1500,1,5000,1,200,1,500,1,3600
84,34,6941,2,30,4,1,400,1,100,1,25,1,125,8,0
84,35,6941,3,30,4,1,450,1,99999,1,25,1,9999,8,0
88,35,6646,3,30,4,1,800,1,450,1,250,1,1000,1,2600
88,36,6646,4,30,4,1,500,1,450,1,250,1,600,1,2600
89,34,1730,3,30,4,1,500,1,200,1,150,1,800,1,500
89,35,1469,3,30,4,1,400,1,300,1,20,1,300,1,500
90,30,1800,3,30,4,1,99999,1,99998,1,9998,1,9998,1,99998
90,31,494,3,30,4,1,400,1,300,1,100,1,400,1,1000
90,32,494,4,30,4,1,400,1,150,1,100,1,100,1,500
91,31,588,3,30,4,1,50,1,200,1,9999,1,300,1,75
91,32,588,4,30,4,1,99999,1,50,1,30,1,9998,1,125
96,31,359,3,30,4,1,1000,1,2000,1,300,1,200,1,99998
96,32,359,4,30,4,1,200,1,2000,1,30,1,500,8,0
96,33,4773,3,30,4,1,1600,1,800,1,50,1,1500,1,700
99,32,6720,2,30,4,1,500,1,40,1,30,1,200,1,2500
99,33,6720,3,30,4,1,200,1,50,1,40,1,200,1,2500
105,35,5317,2,30,4,1,300,5,0,1,40,1,400,1,1200
106,31,4212,2,30,4,1,700,5,0,1,150,1,400,1,1000
106,32,4212,3,30,4,1,600,5,0,1,300,1,500,1,1000
114,33,243,3,30,4,5,0,5,0,1,25,5,0,1,400
114,34,2345,4,30,4,1,1000,1,800,1,40,1,200,1,100
117,31,789,3,30,4,1,400,1,99998,1,40,1,9998,1,99998
117,32,789,4,30,4,1,400,1,99998,1,40,1,9998,1,99998
121,30,893,3,30,4,1,400,1,1250,1,250,1,400,8,0
121,32,631,3,30,4,1,1000,5,0,1,150,1,800,1,1800
121,33,631,4,30,4,1,2000,5,0,1,150,1,500,1,1800
121,36,893,5,30,4,1,400,1,1000,1,100,1,500,1,1500
121,37,804,3,30,4,1,1200,1,2000,1,80,1,600,1,700
122,36,309,4,30,4,1,1000,1,2000,1,100,1,800,1,1500
122,37,6291,3,30,4,1,200,5,0,1,50,1,250,1,1200
122,174,309,3,30,4,1,600,1,2000,1,100,1,1000,1,2200
126,30,1992,3,30,4,1,350,5,0,1,25,1,200,1,1800
128,30,6907,3,30,4,1,600,1,700,1,125,1,500,1,1200
128,31,6907,4,30,4,1,500,1,2000,1,200,1,500,1,1500
129,41,4893,4,30,4,1,600,5,0,1,15,1,250,1,2400
129,197,4893,3,30,4,1,200,5,0,1,20,1,250,1,600
134,30,891,4,30,4,1,500,5,0,1,40,1,250,1,1200
134,31,891,5,30,4,1,500,5,0,1,40,1,250,1,1200
138,32,710,2,30,4,1,300,5,0,1,25,1,300,1,1800
138,33,710,3,30,4,1,500,5,0,1,100,1,500,1,160
145,30,366,3,30,4,1,800,1,3000,1,60,1,1000,1,2400
145,31,366,4,30,4,1,800,1,3000,1,30,1,500,1,800
151,37,4616,5,30,4,1,500,1,1500,1,20,1,400,8,0
151,38,4616,6,30,4,1,500,1,1500,1,20,1,300,1,99998
165,32,4695,4,30,4,1,1000,1,1200,1,450,1,1082,1,1200
166,33,6171,4,30,4,1,200,1,100,1,150,1,450,1,2000
172,36,601,3,35,4,1,500,1,1700,1,100,1,300,1,400
173,35,5323,4,30,4,5,0,5,0,1,50,5,0,1,99998
173,36,1487,4,30,4,1,150,1,300,1,50,1,400,1,1200
173,37,5323,5,30,4,5,0,5,0,1,50,1,100,1,99998
173,38,1117,5,30,4,1,50,5,0,1,20,1,9999,1,200
173,39,1487,5,30,4,1,150,1,300,1,30,1,200,1,1000
173,40,1117,6,30,4,1,20,5,0,1,20,1,100,1,200
174,33,727,3,30,4,1,250,5,0,1,50,1,500,1,1800
174,36,727,5,30,4,1,250,5,0,1,70,1,400,1,1800
174,37,5247,3,30,4,1,200,1,300,1,50,1,100,1,2000
174,40,5247,4,30,4,1,200,1,300,1,15,1,50,1,2000
178,33,3565,3,30,4,1,500,5,0,1,600,1,500,1,1500
178,34,3565,4,30,4,1,500,5,0,1,250,1,500,1,1500
180,30,2530,3,30,4,1,85,5,0,1,30,1,200,1,99998
180,32,2530,5,30,4,1,100,5,0,1,20,1,200,1,99998
181,31,4452,3,30,4,1,700,1,99998,1,100,1,150,1,99998
181,32,4452,4,30,4,1,700,1,100,1,100,1,100,8,0
195,30,32,3,33,4,1,300,1,200,1,200,1,700,1,1000
195,31,32,4,33,4,1,100,1,2000,1,200,1,700,1,1500
203,31,3477,3,30,4,1,2000,1,2500,1,300,1,2000,1,1800
203,33,3477,5,30,4,1,2000,1,2500,1,100,1,500,1,1800
209,30,2823,2,30,4,1,99999,5,0,1,25,1,100,1,1500
220,30,2012,3,30,4,1,500,1,1000,1,100,1,750,1,1440
221,32,3543,3,30,4,1,500,1,2000,1,20,1,400,1,1800
228,31,2939,3,30,4,1,2000,1,100,1,200,1,500,1,200
228,32,361,3,30,4,1,700,1,800,1,75,1,1000,1,600
236,32,602,3,30,4,1,2000,1,1500,1,15,1,3000,1,2500
245,34,5963,4,30,4,1,300,1,2000,1,50,1,500,1,99998
246,31,879,4,30,4,1,1000,1,1000,1,150,1,1000,1,1500
250,31,235,4,33,4,1,200,5,0,1,100,1,400,1,300
250,32,235,3,33,4,1,300,1,250,1,100,1,450,1,600
257,37,2184,3,33,4,1,100,1,99998,1,100,1,200,1,1200
257,39,2184,5,33,4,1,500,1,99998,1,100,1,200,1,1200
257,40,134,3,30,4,1,300,5,0,1,100,1,300,1,500
263,38,1239,3,30,4,1,2000,1,500,5,0,1,600,1,1000
266,35,1508,3,30,4,1,300,1,1000,1,40,1,300,1,1200
280,32,3989,3,30,4,1,500,5,0,8,0,1,400,1,2400
280,33,3989,4,30,4,1,100,5,0,5,0,5,0,1,99998
284,30,1178,3,30,4,1,800,1,600,1,100,1,200,1,1500
284,31,1178,4,30,4,1,800,1,800,1,100,1,300,1,1200
297,48,1107,4,30,4,1,200,1,400,1,200,1,400,1,500
302,36,136,3,30,4,1,300,1,300,1,150,1,1000,1,3000
302,37,136,4,30,4,1,300,5,0,1,150,1,1000,1,3000
