ER30001,ER30002,ER33601,ER33602,ER33603,CHREL,Q21B12_2,Q21B12A1,Q21B12A2,Q21G5,Q21G5D,Q21G7A,Q21G7C,Q21G8F,Q21G8I,Q21G10,Q21G10C,Q21H5,Q21H5C,Q21H6,Q21H6B,Q21H7B,Q21H7F,Q21H8,Q21H8B
4,39,96,3,60,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
4,41,285,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
4,42,285,4,30,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
4,187,6872,3,30,4,5,0,0,0,0,0,0,0,0,0,0,1,240,5,0,1,100,5,0
5,32,1448,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
7,39,2945,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
7,40,2945,4,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,5,0
7,45,6030,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,0,5,0
10,33,5332,2,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,9999,1,60
10,34,257,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,45,5,0
10,35,257,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,50,5,0
14,30,260,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,300,5,0
14,31,260,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,35,1,0
14,32,190,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,200,5,0,1,10
14,33,190,4,30,4,5,0,0,5,0,1,200,5,25,5,0,0,0,0,0,0,0,0,0
18,38,2801,3,33,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,50,1,3800,5,0
18,39,2802,3,30,4,5,0,0,5,0,5,0,1,200,5,0,0,0,0,0,0,0,0,0
