KIDS,KID02,KID07,ER30001,ER30002,ER33601,ER33602,ER33603,CHREL,Q21B12_2,Q21B12A1,Q21B12A2,Q21G5,Q21G5D,Q21G7A,Q21G7C,Q21G8C,Q21G8F,Q21G8I,Q21G10,Q21G10C,Q21H5,Q21H5C,Q21H6,Q21H6B,Q21H7B,Q21H7D,Q21H7F,Q21H8,Q21H8B,Q21H23A,Q21H23A1,Q21H23B,Q21H23B1,Q21H23C,Q21H23C1,Q21H23D,Q21H23D1,Q21H23H,Q21H23H1,ER33901,ER33902,ER33903,PCHREL07,Q31B12_2,Q31B12A1,Q31B12A2,Q31H5,Q31H5C,Q31H6,Q31H6B,Q31H7,Q31H7D,Q31H7F,Q31H8,Q31H8B,Q31H23A,Q31H23A1,Q31H23B,Q31H23B1,Q31H23C,Q31H23C1,Q31H23D,Q31H23D1
2,1.1,1.1,4,39,96,3,60,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,5,0,5,0,1,300,5,0,1,50,1,1000,1,5200,148,3,60,3,5,0,0,5,0,5,0,5,5,0,5,0,1,200,5,0,1,600,1,1000
2,1.1,1.1,4,41,285,3,30,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,5,0,5,0,1,700,5,0,1,200,1,500,1,1600,196,3,30,3,5,0,0,5,0,5,0,5,5,0,5,0,1,20,5,0,1,200,1,500
2,1.1,1.1,4,42,285,4,30,4,5,0,0,5,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,1,500,5,0,1,300,1,500,1,1600,196,4,30,3,5,0,0,5,0,5,0,1,5,120,5,0,1,300,5,0,1,75,1,200
1,1.1,,4,187,6872,3,30,4,5,0,0,0,0,0,0,0,0,0,0,0,1,240,5,0,1,1,100,5,0,1,300,1,1000,1,50,1,600,1,99998,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,1.1,,5,32,1448,4,30,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,5,0,5,0,1,400,5,0,1,300,1,100,1,2600,8069,2,20,,,,,,,,,,,,,,,,,,,,,
1,,1.1,5,33,444,3,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7756,3,30,3,5,0,0,5,0,5,0,5,5,0,5,0,1,100,5,0,1,200,1,300
1,1.1,,7,39,2945,3,30,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,5,0,5,0,1,100,5,0,1,20,1,50,1,2600,1154,3,30,,,,,,,,,,,,,,,,,,,,,
1,1.1,,7,40,2945,4,30,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,5,0,5,0,1,200,5,0,1,50,1,100,1,1300,482,2,30,,,,,,,,,,,,,,,,,,,,,
1,,1.1,7,41,3325,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411,2,30,3,5,0,0,5,0,5,0,1,5,100,5,0,1,300,5,0,1,600,1,500
1,,1.1,7,44,3325,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411,4,30,3,5,0,0,5,0,5,0,1,5,100,5,0,1,400,5,0,1,300,1,500
2,1.1,1.1,7,45,6030,3,30,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,5,0,5,0,1,50,5,0,1,40,1,100,1,50,904,3,30,3,5,0,0,5,0,5,0,5,5,0,5,0,1,900,1,400,1,400,1,400
1,,1.1,7,46,3075,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208,2,30,3,5,0,0,5,0,1,400,5,5,0,5,0,1,1500,1,2000,1,150,1,200
1,,1.1,7,47,3075,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208,3,30,3,5,0,0,1,0,5,0,5,5,0,5,0,1,1500,1,2000,1,150,1,500
2,1.1,1.1,10,33,5332,2,30,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,1,9999,1,60,1,350,1,450,1,100,1,300,1,350,6733,2,30,3,5,0,0,1,0,1,0,5,5,0,5,0,1,600,5,0,1,150,1,300
2,1.1,1.1,10,34,257,3,30,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,5,45,5,0,1,99999,1,900,1,50,1,9998,1,99998,6742,3,30,3,5,0,0,5,0,1,300,5,5,0,5,0,1,600,1,400,1,300,1,550
2,1.1,1.1,10,35,257,4,30,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,1,50,5,0,1,350,1,600,1,100,1,250,1,400,6742,4,30,3,5,0,0,5,0,5,0,1,5,150,5,0,1,500,1,300,1,60,1,400
1,1.1,,14,30,260,3,30,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,1,300,5,0,1,700,1,700,1,100,1,600,1,1800,3621,3,30,,,,,,,,,,,,,,,,,,,,,
1,1.1,,14,31,260,4,30,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,1,35,1,0,1,700,1,700,1,150,1,500,1,1200,4149,2,22,,,,,,,,,,,,,,,,,,,,,
2,1.1,1.1,14,32,190,3,30,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,1,200,5,5,0,1,10,1,200,1,1000,1,20,1,300,1,100,2668,3,30,3,5,0,0,1,0,1,300,1,5,40,1,50,1,500,1,2000,1,100,1,400
2,1.1,1.1,14,33,190,4,30,4,5,0,0,5,0,1,200,5,5,25,5,0,0,0,0,0,0,0,0,0,0,1,200,1,1000,1,20,1,200,1,100,2668,4,30,3,5,0,0,5,0,1,300,1,5,150,1,100,1,500,1,1500,1,50,1,200
1,1.1,,18,38,2801,3,33,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,1,50,1,1,3800,5,0,1,500,1,1500,1,200,1,1200,1,600,1047,1,10,,,,,,,,,,,,,,,,,,,,,
2,1.1,1.1,18,39,2802,3,30,4,5,0,0,5,0,5,0,1,1,200,5,0,0,0,0,0,0,0,0,0,0,1,400,1,250,1,30,1,500,1,1950,940,3,30,3,5,0,0,5,0,5,0,1,1,150,5,0,1,80,1,150,1,25,1,300
