"","KID","year","Toys","Vacation","SchSupplies","Clothing","Food","sports","lessons","comm_grps","tutoring","tuition"
"1",4039,2007,3.84615384615385,0,11.5384615384615,19.2307692307692,NA,0,0,0,0,0
"2",4041,2007,0.384615384615385,0,3.84615384615385,9.61538461538461,NA,0,0,0,0,0
"3",4042,2007,5.76923076923077,0,1.44230769230769,3.84615384615385,NA,2.30769230769231,0,0,0,0
"6",5033,2007,1.92307692307692,0,3.84615384615385,5.76923076923077,NA,0,0,0,0,0
"9",7041,2007,5.76923076923077,0,11.5384615384615,9.61538461538461,NA,1.92307692307692,0,0,0,0
"10",7044,2007,7.69230769230769,0,5.76923076923077,9.61538461538461,NA,1.92307692307692,0,0,0,0
"11",7045,2007,17.3076923076923,7.69230769230769,7.69230769230769,7.69230769230769,NA,0,0,0,0,0
"12",7046,2007,28.8461538461538,38.4615384615385,2.88461538461538,3.84615384615385,NA,0,7.69230769230769,0,0,0
"13",7047,2007,28.8461538461538,38.4615384615385,2.88461538461538,9.61538461538461,NA,0,0,0,0,0
"14",10033,2007,11.5384615384615,0,2.88461538461538,5.76923076923077,NA,0,0,0,0,0
"15",10034,2007,11.5384615384615,7.69230769230769,5.76923076923077,10.5769230769231,NA,0,5.76923076923077,0,0,0
"16",10035,2007,9.61538461538461,5.76923076923077,1.15384615384615,7.69230769230769,NA,2.88461538461538,0,0,0,0
"19",14032,2007,9.61538461538461,38.4615384615385,1.92307692307692,7.69230769230769,NA,0.769230769230769,5.76923076923077,0.961538461538462,0,0
"20",14033,2007,9.61538461538461,28.8461538461538,0.961538461538462,3.84615384615385,NA,2.88461538461538,5.76923076923077,1.92307692307692,0,0
"22",18039,2007,1.53846153846154,2.88461538461538,0.480769230769231,5.76923076923077,NA,2.88461538461538,0,0,0,0
"23",18040,2007,1.34615384615385,2.88461538461538,0.480769230769231,5.76923076923077,NA,2.88461538461538,0,0,0,0
"24",18041,2007,13.4615384615385,5.76923076923077,0.961538461538462,7.69230769230769,NA,3.84615384615385,0,0,0,0
