"","KID","year","tau_m","tau_f","tau_both","tau_m2","tau_f2","tau_m_investment","tau_m_social","tau_m_ex_inv","tau_m_ex_soc","tau_f_investment","tau_f_social","tau_f_ex_inv","tau_f_ex_soc","tau_both_investment","tau_both_social","tau_both_ex_inv","tau_both_ex_soc","relative_present","informal_invest","formal_invest","relative_invest","formal","relative","informal","mother_tot","no_mother_tot","mother_invest","no_mother_invest","q_mother","q_other","tau_m_socinvest","tau_f_socinvest","tau_both_socinvest"
"1",4038,1997,19.5,0,19.5,17.5,0,2.5,10.5,2.5,12.3333333333333,0,0,0,0,2.5,10.5,2.5,12.3333333333333,3.75,0,0,0,0,3.75,4.58333333333333,33.4666666666667,50.1666666666667,15.5,0,0.463147410358566,0,14.8333333333333,0,14.8333333333333
"2",4039,1997,10.5,0.5,10.5,6.5,0.5,5,0.5,5.33333333333333,0.5,0,0.5,0,0.5,5,0.5,5.33333333333333,0.5,36.75,0,0,8.16666666666667,0,31.5833333333333,2.5,20.1666666666667,72.5,14.1666666666667,8.16666666666667,0.702479338842975,0.11264367816092,5.83333333333333,0.5,5.83333333333333
"3",4039,2002,2.5,0,2.5,2.5,0,0,2.5,0,2.5,0,0,0,0,0,2.5,0,2.5,52,0,0,12,0,47,0,27.5,140.5,0,15.1666666666667,0,0.107947805456702,2.5,0,2.5
"4",4039,2007,6.58333333333333,0,6.58333333333333,6.58333333333333,0,0,4.58333333333333,0,4.58333333333333,0,0,0,0,0,4.58333333333333,0,4.58333333333333,28.2,18.75,0,0,0,28.2,21.25,10.5833333333333,157.416666666667,0,22.5,0,0.142932768660667,4.58333333333333,0,4.58333333333333
"5",4041,1997,33.1666666666667,23.3333333333333,39.1666666666667,33.1666666666667,19.3333333333333,11.25,13.1666666666667,13.3333333333333,15.25,1,11.6666666666667,1,13.75,12.25,14.1666666666667,14.3333333333333,16.25,19.5833333333333,7.5,0,0,0,0,10,74.1666666666667,20.4166666666667,47.25,8.5,0.637078651685393,0.416326530612245,28.5833333333333,14.75,30.5833333333333
"6",4041,2007,39.4166666666667,30.5833333333333,39.4166666666667,11.8333333333333,3,0,7.33333333333333,0,7.83333333333333,0,3,0,3,0,7.33333333333333,0,7.83333333333333,3.5,0,0,0,0,0,8.25,39.4166666666667,128.583333333333,0,4,0,0.0311082307193778,7.83333333333333,3,7.83333333333333
"7",4042,1997,54.5833333333333,18.6666666666667,56.5833333333333,54.5833333333333,18.6666666666667,28.75,16.6666666666667,31.25,18.75,1,11,1,13.0833333333333,29.75,17.6666666666667,32.25,19.75,15,0,0,0,0,0,0,83.1666666666667,6,50.8333333333333,4,0.61122244488978,0.666666666666667,50,14.0833333333333,52
"8",4042,2007,7.58333333333333,11.5,18.0833333333333,2.58333333333333,1,0,2.58333333333333,0,2.58333333333333,0,1,0,1,0,2.58333333333333,0,2.58333333333333,0,0,0,0,0,0,4.58333333333333,17.4166666666667,150.583333333333,2.5,4,0.143540669856459,0.0265633646928611,2.58333333333333,1,2.58333333333333
"9",4180,1997,0.833333333333333,0,0.833333333333333,0.833333333333333,0,0,0.833333333333333,0,0.833333333333333,0,0,0,0,0,0.833333333333333,0,0.833333333333333,0,0,0,0,0,0,7.5,33.75,46.6666666666667,3.75,0,0.111111111111111,0,0.833333333333333,0,0.833333333333333
"10",4187,1997,18.8333333333333,8.83333333333333,22.1666666666667,15.5,2.16666666666667,11.25,3.41666666666667,12.0833333333333,3.41666666666667,0,2.16666666666667,0,2.16666666666667,11.25,3.41666666666667,12.0833333333333,3.41666666666667,5.66666666666667,0,0,0,0,0,0,61.1666666666667,35.8333333333333,26.25,0,0.429155313351499,0,15.5,2.16666666666667,15.5
