"","ID","educ","ed","year_meas"
"1",1001,8,"<12",1968
"2",1002,8,"<12",1977
"3",1003,3,"<12",1980
"4",1004,12,"12",1979
"5",1030,NA,NA,-1
"6",2001,3,"<12",1968
"7",2002,3,"<12",1986
"8",2170,5,"<12",1981
"9",2171,8,"<12",1986
"10",2172,8,"<12",1984
"11",2173,NA,NA,-1
"12",3001,NA,NA,-1
"13",3002,3,"<12",1968
"14",4001,5,"<12",1999
"15",4002,5,"<12",1999
"16",4003,10,"<12",2011
"17",4004,14,"13-15",2011
"18",4005,12,"12",2003
"19",4006,12,"12",2011
"20",4007,12,"12",2011
"21",4008,11,"<12",2011
"22",4030,NA,NA,-1
"23",4031,12,"12",2011
"24",4032,10,"<12",1992
"25",4033,12,"12",2009
"26",4034,12,"12",2009
"27",4035,14,"13-15",2009
"28",4036,13,"13-15",2009
"29",4037,10,"<12",2011
"30",4038,12,"12",2011
"31",4039,12,"12",2011
"32",4040,NA,NA,-1
"33",4041,12,"12",2011
"34",4042,NA,NA,-1
"35",4043,NA,NA,-1
"36",4044,NA,NA,-1
"37",4045,NA,NA,-1
"38",4046,NA,NA,-1
"39",4047,NA,NA,-1
"40",4048,NA,NA,-1
"41",4049,NA,NA,-1
"42",4050,NA,NA,-1
"43",4051,NA,NA,-1
"44",4052,NA,NA,-1
"45",4170,12,"12",1994
"46",4171,NA,NA,-1
"47",4172,16,"16",1999
"48",4173,12,"12",2011
"49",4174,8,"<12",1978
"50",4175,12,"12",2003
"51",4176,11,"<12",1996
"52",4177,NA,NA,-1
"53",4178,NA,NA,-1
"54",4179,9,"<12",2005
"55",4180,12,"12",2011
"56",4181,11,"<12",1992
"57",4182,14,"13-15",1994
"58",4183,NA,NA,-1
"59",4184,NA,NA,-1
"60",4185,NA,NA,-1
"61",4186,14,"13-15",2003
"62",4187,10,"<12",2003
"63",4188,16,"16",2003
"64",4189,14,"13-15",1997
"65",4190,12,"12",2003
"66",4191,12,"12",1997
"67",4192,NA,NA,-1
"68",4193,12,"12",2005
"69",4194,10,"<12",2003
"70",4195,9,"<12",2011
"71",4196,11,"<12",2011
"72",4197,12,"12",2009
"73",4198,17,">16",2009
"74",4199,11,"<12",2011
"75",4200,12,"12",2011
"76",4201,11,"<12",2011
"77",4202,12,"12",2011
"78",4203,NA,NA,-1
"79",4204,NA,NA,-1
"80",4205,NA,NA,-1
"81",4206,NA,NA,-1
"82",4207,NA,NA,-1
"83",5001,11,"<12",1997
"84",5002,10,"<12",2011
"85",5003,12,"12",2011
"86",5004,12,"12",2011
"87",5005,10,"<12",2011
"88",5030,12,"12",1989
"89",5031,12,"12",2011
"90",5032,14,"13-15",2011
"91",5033,10,"<12",2011
"92",5034,NA,NA,-1
"93",5035,NA,NA,-1
"94",5036,NA,NA,-1
"95",5170,13,"13-15",2011
"96",5171,11,"<12",1999
"97",5172,12,"12",2001
"98",5173,12,"12",2003
"99",5174,NA,NA,-1
"100",5175,14,"13-15",2007
"101",5176,12,"12",2001
"102",5177,12,"12",2011
"103",5178,NA,NA,-1
"104",5179,NA,NA,-1
"105",5180,NA,NA,-1
"106",5181,12,"12",2011
"107",5182,17,">16",2011
"108",5183,10,"<12",2011
"109",5184,NA,NA,-1
"110",5185,NA,NA,-1
"111",5186,NA,NA,-1
"112",5187,NA,NA,-1
"113",6001,8,"<12",2001
"114",6002,12,"12",2011
"115",6003,17,">16",2005
"116",6004,13,"13-15",2011
"117",6005,12,"12",1970
"118",6006,17,">16",2011
"119",6030,16,"16",2011
"120",6031,16,"16",2011
"121",6032,16,"16",2011
"122",6033,16,"16",2011
"123",6034,17,">16",2011
"124",6035,NA,NA,-1
"125",6036,NA,NA,-1
"126",6037,NA,NA,-1
"127",6038,NA,NA,-1
"128",6039,NA,NA,-1
"129",6040,NA,NA,-1
"130",6041,NA,NA,-1
"131",6042,NA,NA,-1
"132",6170,11,"<12",2011
"133",6171,10,"<12",1994
"134",6172,16,"16",2011
"135",6173,13,"13-15",1995
"136",6174,16,"16",2011
"137",6175,16,"16",2011
"138",6176,NA,NA,-1
"139",6177,16,"16",2011
"140",6178,NA,NA,-1
"141",6179,NA,NA,-1
"142",6180,NA,NA,-1
"143",7001,7,"<12",1987
"144",7002,7,"<12",2003
"145",7003,12,"12",2011
"146",7004,9,"<12",2011
"147",7005,11,"<12",2011
"148",7030,12,"12",2011
"149",7031,11,"<12",2011
"150",7032,11,"<12",2011
"151",7033,11,"<12",2011
"152",7034,11,"<12",2011
"153",7035,10,"<12",2011
"154",7036,12,"12",2011
"155",7037,11,"<12",2011
"156",7038,12,"12",2011
"157",7039,12,"12",2011
"158",7040,12,"12",2011
"159",7041,12,"12",2011
"160",7042,13,"13-15",2011
"161",7043,11,"<12",2011
"162",7044,11,"<12",2011
"163",7045,10,"<12",2011
"164",7046,10,"<12",2011
"165",7047,NA,NA,-1
"166",7048,NA,NA,-1
"167",7049,NA,NA,-1
"168",7050,NA,NA,-1
"169",7051,NA,NA,-1
"170",7052,NA,NA,-1
"171",7053,NA,NA,-1
"172",7054,NA,NA,-1
"173",7055,NA,NA,-1
"174",7056,NA,NA,-1
"175",7057,NA,NA,-1
"176",7058,NA,NA,-1
"177",7059,NA,NA,-1
"178",7060,NA,NA,-1
"179",7061,NA,NA,-1
"180",7062,NA,NA,-1
"181",7063,NA,NA,-1
"182",7064,NA,NA,-1
"183",7065,NA,NA,-1
"184",7170,12,"12",2011
"185",7171,11,"<12",2011
"186",7172,12,"12",1975
"187",7173,NA,NA,-1
"188",7175,12,"12",2011
"189",7176,10,"<12",1995
"190",7177,12,"12",2011
"191",7178,11,"<12",1996
"192",7179,12,"12",1995
"193",7180,NA,NA,-1
"194",7181,NA,NA,-1
"195",7182,12,"12",2011
"196",7183,NA,NA,-1
"197",7184,8,"<12",2007
"198",7185,11,"<12",2005
"199",7186,12,"12",2011
"200",7187,12,"12",2011
"201",7188,11,"<12",2011
"202",7189,NA,NA,-1
"203",7190,11,"<12",2007
"204",7191,11,"<12",2007
"205",7192,7,"<12",2007
"206",7193,NA,NA,-1
"207",7194,12,"12",2011
"208",7195,12,"12",2009
"209",7196,10,"<12",2009
"210",7197,NA,NA,-1
"211",7198,NA,NA,-1
"212",7199,12,"12",2011
"213",7200,12,"12",2011
"214",7201,NA,NA,-1
"215",7202,12,"12",2011
"216",7203,NA,NA,-1
"217",7205,NA,NA,-1
