****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 279468 ******* 

Variable    Labels

V1         RELEASE NUMBER                          
V3         FAMILY NUMBER                           
V37        YRLY FOOD BILL                          
V441       RELEASE NUMBER                          
V442       1969 INT NUMBER                         
V500       $  FOOD USD HOME                        
V1101      RELEASE NUMBER                          
V1102      1970 INT #                              
V1175      $  FOOD USED HOME                       
V1801      RELEASE NUMBER                          
V1802      71 ID NO.                               
V1876      $  FOOD USED HOME                       
V2401      RELEASE NUMBER                          
V2402      1972 INT #                              
V2476      $  FOOD USED HOME                       
V3401      RELEASE NUMBER                          
V3402      1974 ID NUMBER                          
V3441      ANN FOOD AT HOME                        
V3801      RELEASE NUMBER                          
V3802      1975 INT #                              
V3841      $  FOOD USED HOME                       
V4301      RELEASE NUMBER                          
V4302      1976 ID NUMBER                          
V4354      ANN FOOD EXPENDITRG13G15                
V5201      RELEASE NUMBER                          
V5202      1977 ID                                 
V5271      ANNUAL FOOD$  EXCL FDSTMP               
V5701      RELEASE NUMBER                          
V5702      1978 ID                                 
V5770      ANN FD $  EXCL FDSTMP                   
V6301      RELEASE NUMBER                          
V6302      1979 ID                                 
V6376      ANN FD $  EXCL FDSTMP                   
V6901      RELEASE NUMBER                          
V6902      1980 INTERVIEW NUMBER                   
V6972      ANN FD $  EXCL FD STMP                  
V7501      RELEASE NUMBER                          
V7502      1981 INTERVIEW NUMBER                   
V7564      ANN FD $ $  EXC FD STMP                 
V8201      RELEASE NUMBER                          
V8202      1982 INTERVIEW NUMBER                   
V8256      ANN FOOD COST EXC FD ST                 
V8801      RELEASE NUMBER                          
V8802      1983 INTERVIEW NUMBER                   
V8864      ANN FOOD COST EXC FD ST                 
V10001     RELEASE NUMBER                          
V10002     1984 INTERVIEW NUMBER                   
V10235     ANN FOOD COST EXC FD ST                 
V11101     RELEASE NUMBER                          
V11102     1985 INTERVIEW NUMBER                   
V11375     ANN FOOD COST EXC FD ST                 
V12501     RELEASE NUMBER                          
V12502     1986 INTERVIEW NUMBER                   
V12774     ANN FOOD COST EXC FD ST                 
V13701     RELEASE NUMBER                          
V13702     1987 INTERVIEW NUMBER                   
V13876     ANN FOOD COST EXC FD ST                 
V17701     RELEASE NUMBER                          
V17702     1990 INTERVEW NUMBER                    
V17807     ANN FD COST-EXC FD ST                   
V19001     RELEASE NUMBER                          
V19002     1991 INTERVIEW NUMBER                   
V19107     ANN FD COST-HOME                        
V20301     RELEASE NUMBER                          
V20302     1992 INTERVIEW NUMBER                   
V20407     ANN FD COST-HOME                        
V21601     RELEASE NUMBER                          
V21602     1993 INTERVIEW NUMBER                   
V21707     ANNUAL COST FOOD-HOME (F15/F17/F19/F21) 
ER2001     RELEASE NUMBER                          
ER2002     1994 INTERVIEW #                        
ER3077     F14 BUY FOOD NOT FD STMP                
ER3078     F15 $SPENT NOT FDSTMP AMT               
