ER21001,ER21002,ER23702D3,ER23702E8,ER23702F1,ER23702J6,ER23702L2,ER23702L4
8,1392,52,40,99999999,42,16,99999999
8,6278,52,55,24000,0,0,0
8,4812,52,40,14500,0,0,0
8,5536,52,40,30000,52,35,10000
8,6061,52,50,25000,0,0,0
8,5552,52,30,20000,0,0,0
8,5558,52,40,31000,0,0,0
8,7782,0,0,0,0,0,0
8,5974,52,45,24000,0,0,0
8,6570,52,60,50000,52,40,20000
8,1427,52,50,99999999,0,0,0
8,6443,52,50,99999999,0,0,0
8,3724,0,0,0,0,0,0
8,4965,52,40,40000,52,45,24000
8,6955,52,40,19000,0,0,0
8,2436,52,35,13000,0,0,0
8,169,52,45,14000,0,0,0
8,784,0,0,0,0,0,0
8,1838,52,70,75000,0,0,0
8,1890,52,45,35000,52,38,20800
8,1414,52,40,32000,52,40,45000
8,5260,0,0,0,0,0,0
8,6234,0,0,0,52,40,25000
8,4853,52,40,8000,0,0,0
8,5218,0,0,0,30,20,99999999
8,5115,52,40,99999999,2,40,99999999
8,6972,42,80,99999999,0,0,0
8,6217,52,50,18000,0,0,0
8,6618,0,0,0,0,0,0
8,5049,0,0,0,0,0,0
8,6465,52,30,99999999,48,48,99999999
8,5294,0,0,0,0,0,0
8,5000,52,33,20000,0,0,0
8,6425,52,998,99999999,0,0,0
8,5672,0,0,0,0,0,0
8,2507,26,40,8000,0,0,0
8,1087,52,40,30000,0,0,0
8,634,52,40,16000,0,0,0
8,7797,50,45,3500,0,0,0
8,5774,52,40,17000,0,0,0
8,6719,52,45,99999999,0,0,0
8,5521,52,50,35000,52,40,80000
8,993,0,0,0,0,0,0
8,2349,52,45,99999999,0,0,0
8,1687,0,0,0,0,0,0
8,7592,0,0,0,0,0,0
8,5201,52,42,123000,0,0,0
8,1846,52,42,69000,18,20,1480
8,2300,52,40,78000,52,40,27000
8,2012,0,0,0,0,0,0
8,7218,17,32,11000,0,0,0
8,3853,52,40,58000,45,5,2400
8,2703,52,50,48000,52,25,16000
8,137,0,0,0,0,0,0
8,4373,52,40,15000,0,0,0
8,2619,52,40,35000,52,45,30000
8,145,35,50,13000,0,0,0
8,6476,52,40,19000,52,40,26000
8,3880,0,0,0,0,0,0
8,3802,0,0,0,0,0,0
8,5449,52,60,44553,0,0,0
8,5791,52,50,60000,52,40,38000
8,4534,33,40,38000,0,0,0
8,6122,52,60,46000,0,0,0
8,6064,52,40,67000,0,0,0
8,6687,52,45,14000,42,40,15000
8,5713,52,40,30000,12,16,2000
8,6239,42,40,90000,19,37,8000
8,7550,0,0,0,0,0,0
8,3905,45,50,49266,0,0,0
8,4300,27,40,11000,0,0,0
8,251,0,0,0,0,0,0
8,5453,52,35,13500,0,0,0
8,5144,52,40,18000,52,36,35000
8,5806,52,40,38000,0,0,0
8,605,33,45,63000,0,0,0
8,5011,52,45,71529,0,0,0
8,7190,52,30,30000,0,0,0
8,1619,0,0,0,0,0,0
8,2024,0,0,0,0,0,0
8,5135,0,0,0,52,40,45000
8,1466,52,45,36000,52,50,43000
8,977,52,48,99999999,52,48,99999999
8,5656,52,40,52000,0,0,0
8,891,52,50,39000,52,25,6000
8,1330,52,80,240000,0,0,0
8,1614,52,40,25000,52,60,25000
8,453,29,36,6000,0,0,0
8,5004,52,46,40000,52,40,21000
8,6565,52,40,70000,0,0,0
8,4588,52,40,16800,0,0,0
8,6957,52,32,11000,0,0,0
8,6190,52,8,516,0,0,0
8,928,52,50,60000,52,40,1000
8,6300,52,55,18000,0,0,0
8,478,52,45,36000,52,10,8500
8,535,0,0,0,0,0,0
8,7705,52,40,56000,52,20,20000
8,514,0,0,0,0,0,0
8,3350,52,40,16000,52,40,14000
8,442,13,18,99999999,0,0,0
8,7788,52,50,49500,52,40,20500
8,422,52,40,29114,52,39,22505
8,6114,0,0,0,0,0,0
8,426,0,0,0,0,0,0
8,6962,52,42,40000,52,40,18000
8,7587,0,0,0,0,0,0
8,6196,49,40,18000,52,1,800
8,2052,52,40,40000,0,0,0
8,1025,52,40,30000,52,40,4000
8,2125,52,50,32000,0,0,0
8,456,52,40,30000,0,0,0
8,467,52,35,19000,52,20,500
8,3399,52,25,20000,52,20,13000
8,4966,52,36,60000,52,5,2500
8,3275,52,70,41480,52,70,41480
8,2977,52,40,27000,52,24,20000
8,3670,52,50,24000,52,20,2000
8,5296,52,40,60000,52,8,3500
8,6379,52,40,70000,49,33,20000
8,1946,52,20,6000,52,40,28000
8,6152,52,42,25533,52,43,27324
8,5510,52,60,24000,52,40,25000
8,7281,42,40,99999999,0,0,0
8,6377,52,50,99999999,52,40,38000
8,3278,52,40,30000,52,40,15000
8,283,49,40,40000,17,40,4000
8,591,52,40,55000,0,0,0
8,557,0,0,0,52,16,1000
8,3191,52,60,38000,52,40,27000
8,3599,52,50,44000,52,40,15000
8,2333,99,75,22700,52,45,17000
8,7173,49,40,45000,0,0,0
8,2601,35,40,4000,0,0,0
8,1766,38,41,30883,52,40,31200
8,4191,45,40,16000,17,40,4800
8,7792,52,45,29000,52,35,16000
8,2148,52,50,44880,52,40,20800
8,1509,52,45,55000,0,0,0
8,7793,0,0,0,52,20,4500
8,6208,52,48,21200,45,40,12000
8,45,0,0,0,0,0,0
8,2842,49,35,8000,0,0,0
8,3977,49,30,8000,0,0,0
8,5430,52,60,65000,52,30,13000
8,366,52,45,38000,35,20,4000
8,7432,52,35,22000,0,0,0
8,5234,52,45,18000,0,0,0
8,5131,52,55,108000,52,40,17000
8,5405,52,60,99999999,0,0,0
8,3691,52,25,11000,52,24,36000
8,80,0,0,0,0,0,0
8,285,52,40,43000,0,0,0
8,949,52,40,65000,52,45,50000
8,4504,52,50,30000,0,0,0
8,4355,52,38,52000,52,35,32000
8,3985,0,0,0,0,0,0
8,7139,0,0,0,0,0,0
8,28,0,0,0,0,0,0
8,726,52,50,60000,52,40,20000
8,112,0,0,0,0,0,0
8,635,52,37,54000,0,0,0
8,2590,52,40,35000,52,40,25000
8,1666,0,0,0,0,0,0
8,6635,22,35,24000,0,0,0
8,7306,52,30,40000,52,40,30000
8,4808,0,0,0,0,0,0
8,4438,52,30,45000,0,0,0
8,4624,0,0,0,52,55,53280
8,2108,0,0,0,0,0,0
8,1207,52,40,65000,40,45,18000
8,5492,43,40,11700,0,0,0
8,7475,52,48,42000,0,0,0
8,636,52,47,60000,52,47,30000
8,2663,0,0,0,0,0,0
8,1179,41,40,37000,40,40,8700
8,3398,0,0,0,0,0,0
8,2956,35,60,50000,35,60,50000
8,3400,52,40,22000,0,0,0
8,3439,0,0,0,0,0,0
8,3231,52,45,10400,0,0,0
8,7417,52,40,230000,0,0,0
8,7052,52,60,99999999,52,45,99999999
8,7816,0,0,0,0,0,0
8,7043,52,80,40000,52,70,20000
8,3179,52,60,120000,52,60,83000
8,6700,52,60,99999999,52,60,99999999
8,6818,52,40,54000,52,32,10000
8,6888,52,70,30000,52,40,10000
8,114,0,0,0,0,0,0
8,237,52,25,20000,0,0,0
8,184,52,37,35000,0,0,0
8,6615,0,0,0,0,0,0
8,757,52,50,33000,52,40,36000
8,3952,0,0,0,0,0,0
8,6437,52,35,10000,0,0,0
8,1892,52,36,18000,52,20,7000
8,1033,52,48,39000,52,40,40000
8,6534,52,35,20000,52,33,9800
8,2873,0,0,0,52,50,38000
8,7346,52,50,42000,52,40,27000
8,3170,52,40,280000,52,40,99999999
8,6472,52,45,62000,52,40,35000
8,6201,15,4,420,0,0,0
8,6338,52,60,36000,52,50,36000
8,7363,52,40,26000,32,40,11000
8,5868,52,40,75000,42,45,21600
8,1686,0,0,0,0,0,0
8,3156,52,48,76000,52,15,5000
8,6137,52,52,90000,52,32,17000
8,2498,52,45,39000,52,30,21000
8,906,9,20,300,0,0,0
8,5914,0,0,0,52,30,14500
8,851,0,0,0,52,40,35000
8,1415,52,45,21000,0,0,0
8,828,26,45,15000,52,40,7000
8,2069,26,40,6000,0,0,0
8,5694,0,0,0,0,0,0
8,608,0,0,0,0,0,0
8,688,52,999,99999999,52,40,31000
8,2972,38,40,12000,0,0,0
8,5549,52,55,29000,0,0,0
8,2904,18,40,99999999,0,0,0
8,3469,34,48,16000,0,0,0
8,2914,52,50,30000,52,30,30000
8,3256,23,50,6875,0,0,0
8,7203,52,40,23000,0,0,0
8,6856,0,0,0,0,0,0
8,766,52,40,54800,38,28,6000
8,508,52,40,50000,0,0,0
8,5228,52,40,45000,52,28,5000
8,2277,52,50,88000,39,999,5000
8,3043,52,60,33000,0,0,0
8,6825,52,40,39000,52,40,18000
8,1515,26,60,27000,0,0,0
8,2077,52,50,45000,52,38,28000
8,620,52,50,60000,0,0,0
8,554,52,40,30000,0,0,0
8,544,25,40,8000,0,0,0
8,2667,52,45,99999999,30,38,99999999
8,3018,52,50,40000,52,50,30000
8,2499,52,55,203000,32,10,1700
8,6225,0,0,0,52,40,23000
8,3722,52,60,58000,0,0,0
8,5966,52,40,60000,52,32,80000
8,4991,52,44,36000,52,24,20000
8,6483,52,50,21000,39,40,5850
8,4704,52,40,17000,52,45,17000
8,6448,52,40,45000,0,0,0
8,6846,52,60,15000,52,30,14000
8,6675,49,45,35000,52,40,35000
8,1720,52,45,61000,52,42,36000
8,7093,52,50,99999999,52,55,27000
8,5100,52,2,600,0,0,0
8,6475,52,40,67000,0,0,0
8,5470,52,45,81000,52,34,28000
8,259,52,40,28000,0,0,0
8,4536,52,50,47000,52,45,78000
8,147,0,0,0,0,0,0
8,2902,0,0,0,0,0,0
8,3466,52,70,51000,0,0,0
8,3972,0,0,0,0,0,0
8,2827,32,8,99999999,0,0,0
8,5269,52,40,34000,0,0,0
8,3489,52,40,19000,0,0,0
8,3407,52,20,500,0,0,0
8,6714,52,32,30000,52,50,13000
8,1724,52,40,9000,0,0,0
8,562,52,45,17000,0,0,0
8,6450,52,60,36000,0,0,0
8,6453,52,40,25000,0,0,0
8,7076,52,20,7000,0,0,0
8,1054,52,40,37000,52,40,34000
8,1177,52,30,38000,0,0,0
8,49,35,40,25500,0,0,0
8,5799,52,90,35000,52,40,99999999
8,4784,52,25,45000,52,8,8000
8,4115,0,0,0,0,0,0
8,6003,45,40,175000,52,50,50000
8,332,36,40,70000,0,0,0
8,4830,0,0,0,0,0,0
8,6150,52,40,45300,52,2,45300
8,865,52,45,99999999,0,0,0
8,387,0,0,0,0,0,0
8,611,52,15,50000,52,40,90000
8,2308,52,50,108237,26,4,4635
8,4666,52,50,78000,52,5,22000
8,1778,52,30,15725,0,0,0
8,1899,52,40,49000,0,0,0
8,564,52,50,50000,52,32,45000
8,423,0,0,0,0,0,0
8,652,52,50,23000,52,40,33000
8,1180,52,20,6500,0,0,0
8,1360,52,45,26000,0,0,0
8,904,0,0,0,0,0,0
