ER25001,ER25002,ER27711D3,ER27711E8,ER27711F1,ER27711F2,ER27711J6,ER27711L2,ER27711L4,ER27711L5,ER36001,ER36002,ER40686D3,ER40686E8,ER40686F1,ER40686F2,ER40686J6,ER40686L2,ER40686L4,ER40686L5,ER42001,ER42002,ER46670,ER46671,ER46673,ER46674,ER46681,ER46682,ER46684,ER46685
6,289,40,40,20000,6,0,0,0,0,7,148,52,48,16000,6,0,0,0,0,5,13,0,0,0,0,0,0,0,0
6,2356,52,50,45000,6,0,0,0,0,7,5399,52,60,250000,6,0,0,0,0,5,1827,52,40,30000,6,0,0,0,0
6,4097,52,40,18000,6,0,0,0,0,7,720,22,40,6300,6,0,0,0,0,5,1840,0,0,0,0,0,0,0,0
6,6880,52,40,51000,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,
6,1288,0,0,0,0,52,35,17000,6,,,,,,,,,,,5,8582,52,40,28000,6,0,0,0,0
6,641,39,50,23000,6,0,0,0,0,7,189,52,56,35000,6,0,0,0,0,5,5839,52,40,35000,6,0,0,0,0
6,1299,52,40,1500,5,0,0,0,0,,,,,,,,,,,5,2003,52,30,10000,6,0,0,0,0
6,7811,52,40,99999999,9,0,0,0,0,,,,,,,,,,,5,8333,52,30,9999999,9,52,50,9999999,9
6,7971,52,55,63000,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5,8180,52,38,30000,6,0,0,0,0
,,,,,,,,,,7,1130,0,0,0,0,0,0,0,0,5,77,0,0,0,0,0,0,0,0
6,1157,52,55,25000,6,0,0,0,0,7,196,52,50,700,3,0,0,0,0,5,684,52,40,25000,6,0,0,0,0
6,771,52,50,15000,6,0,0,0,0,7,5740,52,40,700,3,0,0,0,0,5,950,52,40,30000,6,0,0,0,0
,,,,,,,,,,,,,,,,,,,,5,8468,52,50,72000,6,52,50,55000,6
6,1654,0,0,0,0,0,0,0,0,7,1210,0,0,0,0,0,0,0,0,5,8471,0,0,0,0,0,0,0,0
6,624,52,42,32000,6,2,40,2000,6,7,5570,52,40,34000,6,0,0,0,0,5,163,52,40,31000,6,0,0,0,0
,,,,,,,,,,7,423,0,0,0,0,0,0,0,0,5,8465,0,0,0,0,0,0,0,0
6,1504,52,40,20000,6,9,40,3167,6,7,7756,52,40,22000,6,0,0,0,0,5,8470,52,40,21000,6,52,32,9999999,9
6,7566,9,40,4000,6,0,0,0,0,7,7878,22,30,10000,6,52,40,15000,6,5,8312,52,30,350,3,52,40,23000,6
6,12,52,35,14000,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7,8069,52,70,9999999,9,12,20,9999999,9,5,3976,52,80,185000,6,0,0,0,0
6,561,0,0,0,0,0,0,0,0,7,126,0,0,0,0,0,0,0,0,5,2409,0,0,0,0,0,0,0,0
6,1202,52,65,85000,6,52,4,13100,6,7,997,52,75,62500,6,0,0,0,0,5,539,52,70,85000,6,0,0,0,0
,,,,,,,,,,7,6207,52,40,67000,6,52,40,49000,6,5,497,52,40,72000,6,15,30,10000,6
6,6475,52,40,31000,6,0,0,0,0,7,4764,52,40,30000,6,0,0,0,0,5,847,52,45,70000,6,0,0,0,0
,,,,,,,,,,7,6467,52,50,65000,6,0,0,0,0,5,2267,52,50,80000,6,0,0,0,0
,,,,,,,,,,7,5967,0,0,0,0,0,0,0,0,5,858,0,0,0,0,0,0,0,0
6,3444,52,40,33000,6,52,40,21000,6,7,4264,52,35,22500,6,52,36,32000,6,5,4485,52,20,13000,6,52,60,22000,6
6,724,52,45,35000,6,52,36,45000,6,7,724,52,48,42000,6,52,24,60000,6,5,729,52,50,64800,6,52,24,64000,6
6,345,0,0,0,0,52,40,99999999,9,7,178,0,0,0,0,52,38,9999999,9,5,412,0,0,0,0,52,36,32000,6
6,825,18,40,99999999,9,0,0,0,0,7,534,52,55,13000,6,0,0,0,0,5,470,52,40,28000,6,0,0,0,0
6,474,0,0,0,0,52,21,17000,6,7,1154,0,0,0,0,52,998,9999999,9,5,424,99,40,7500,6,52,40,15000,6
6,562,52,40,99999999,9,0,0,0,0,7,1411,99,40,9999999,9,0,0,0,0,5,576,0,0,0,0,0,0,0,0
6,82,52,100,30000,6,0,0,0,0,7,904,45,30,9999999,9,0,0,0,0,5,272,52,112,9999999,9,52,998,9999999,9
6,586,39,40,40000,6,0,0,0,0,7,887,49,45,19000,6,0,0,0,0,5,416,52,65,34000,6,0,0,0,0
,,,,,,,,,,7,820,52,60,9999999,9,0,0,0,0,5,2348,19,40,9999999,9,0,0,0,0
6,154,52,52,25000,6,0,0,0,0,7,211,52,45,35000,6,0,0,0,0,5,395,52,50,37000,6,0,0,0,0
6,826,52,40,99999999,9,0,0,0,0,7,1504,35,40,10000,6,0,0,0,0,5,645,43,41,9999999,9,0,0,0,0
6,5267,52,998,99999999,9,0,0,0,0,7,504,0,0,0,0,0,0,0,0,5,871,52,40,9999999,9,0,0,0,0
,,,,,,,,,,,,,,,,,,,,5,6730,52,32,12000,6,99,998,20000,6
6,571,0,0,0,0,0,0,0,0,7,482,0,0,0,0,0,0,0,0,5,290,0,0,0,0,0,0,0,0
