****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 312516 ******* 

Variable    Labels

V1         RELEASE NUMBER                          
V3         FAMILY NUMBER                           
V47        YRLY HEADS HRS                          
V53        YRLY WIFE HRS                           
V74        HDS LABOR INCOME                        
V75        WIFE LBR INCOME                         
V441       RELEASE NUMBER                          
V442       1969 INT NUMBER                         
V465       HRS HEAD WORKED                         
V475       HRS WIFE WORKED                         
V514       LABOR INC HEAD                          
V516       LABOR INC WIFE                          
V1101      RELEASE NUMBER                          
V1102      1970 INT #                              
V1138      HRS HEAD WORKED                         
V1148      HRS WIFE WORKED                         
V1196      LABOR INC HEAD                          
V1198      LABOR INC WIFE                          
V1801      RELEASE NUMBER                          
V1802      71 ID NO.                               
V1839      HRS HEAD WORKED                         
V1849      HRS WIFE WORKED                         
V1897      LABOR INC HEAD                          
V1899      LABOR INC WIFE                          
V2401      RELEASE NUMBER                          
V2402      1972 INT #                              
V2439      HRS HEAD WORKED                         
V2449      HRS WIFE WORKED                         
V2498      LABOR INC HEAD                          
V2500      LABOR INC WIFE                          
V3001      RELEASE NUMBER                          
V3002      1973 INT #                              
V3027      HDS ANN WORK HRS                        
V3035      WF WORK HRS                             
V3051      HDS TOT LABOR Y                         
V3053      WFS LABOR INC                           
V3401      RELEASE NUMBER                          
V3402      1974 ID NUMBER                          
V3423      ANN WRK HRS-HD                          
V3431      ANN WRK HRS-WIFE                        
V3463      TOT LABOR INC-HD                        
V3465      TOT LABOR INC-WF                        
V3801      RELEASE NUMBER                          
V3802      1975 INT #                              
V3823      HRS HD WORKED                           
V3831      HRS WIFE WORKED                         
V3863      HEAD LABOR Y                            
V3865      WIFE LABOR Y                            
V4301      RELEASE NUMBER                          
V4302      1976 ID NUMBER                          
V4332      ANN WORK HOURS                          
V4344      WIFE ANN WORK HRS   G5G6                
V4379      WIFES ANNUAL WAGE    H25                
V5031      HEAD TOTAL LABOR Y                      
V5201      RELEASE NUMBER                          
V5202      1977 ID                                 
V5232      HD ANN WRK HRS IN 76                    
V5244      WIFE ANN WORK HOURS 1976                
V5289      WIFE 1976 WAGES                         
V5627      TOT 1976 LABOR INCM HEAD                
V5701      RELEASE NUMBER                          
V5702      1978 ID                                 
V5731      HD ANN WRK HRS IN 77                    
V5743      WF ANN WRK HRS 1977                     
V5788      WIFE 1977 WAGE                          
V6174      TOT 1977 HEAD LABOR Y                   
V6301      RELEASE NUMBER                          
V6302      1979 ID                                 
V6336      HD ANN WRK HRS IN 78                    
V6348      WF ANN WRK HRS IN 78                    
V6398      WIFE 1978 LABOR/WAGE                    
V6767      TOT 1978 HEAD LABOR Y                   
V6901      RELEASE NUMBER                          
V6902      1980 INTERVIEW NUMBER                   
V6934      HD ANN WRK HRS IN 79                    
V6946      WF ANN WRK HRS IN 79                    
V6988      WIFE 1979 LABOR/WAGE                    
